stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,76.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0,0,0,0
  5-6,0,33.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.29,0,0,3.42,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,30.07,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.2,0,0,0,3.13,0,0,0,0,29.97,0,0,0,0,0,0,0,20.26,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.35,0.94,0,0.83,0,0,0,0,0,0,0,0,0,1.02,0,0.9,12.51,0.88,0,0,0,0,3.18,5.33,0,1.16,3.25,3.75,0,0.89,0
 24-34,0,0,0.66,0,5.51,0.61,0,2.17,0,0,0,0,0,0,0,0,0.68,11.5,0,5.05,39.08,0,2.96,0.73,0,0,0,0,0.93,0,4.94,5.01,0,14.04,0
 36-46,0,0,0,0,0,0,0,4.65,0,0.78,0,0,0,0,0,0,0,3.73,0,0,22.51,0.62,0,0,0,0,0,0,0.79,0,0,4.77,0,32.41,0
 48-58,0,0,0,0,0,0,0,2.05,0,1.45,0,0,0,0,0,0,0,11.2,0,3.24,5.17,0.63,0,0,0,0,1.19,0,0,0,0,4.64,0,4.29,0.83
 60-70,0,0,0,0,0.91,0,0,9.4,2.57,0.81,0.63,0.69,0,0,0,0,0,6.71,2,3.11,9.87,0,0,0,0,0.71,0,0,0,0,0,0.82,0,1.6,0
 72-82,0,0,0,0,1.53,0,0,12.63,1.13,1.26,4.99,1.39,0,0.82,0,0,0,8.53,1.45,0,10.54,0,0,0,0,2.17,0.49,0,0,0,0,0,0,11.68,0
 84-94,0,0,0,0,2.9,0,0,4.68,0.93,0,2.53,0,0,6.1,0,0,0,8.51,0,0,9.63,0,0,0,0,0,0,0,0.67,0,0,8.02,1.15,20.29,0
 96-106,0,0,0,0,3.25,6.83,0.71,7.38,14.26,0,1.25,0,0,0,3.02,0,0,12.2,0,1.92,10.57,0,0,0,0,0,1.34,0,0,0,0,3.17,0,10.66,0
108-118,0,0,0,0,0.51,0,2.55,5.74,49.03,0.9,2.08,0,0,0,0.42,0.74,1.83,13.98,0,2.28,30.74,0,0,0,0,0,4.33,0,0,1.56,0,0,0,6.21,2.85
120,0,0,0,0,2.27,0,4.03,4.73,65.06,0,11.17,0,0,0,1.06,0,0,9.99,0,1.11,5.67,0,0,0,0,0,0,0,0,0,0,0,0,14.92,0
