stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,7.25,0,0,1.02,0,0
 24-34,0,0,3.08,0,0,0.61,0,0,0,0,0.73,0,0,0,0,0.85,0,80.4,0,1.03,0,0,0,0.76,20.39,0,0,4.19,0,0
 36-46,0,0.78,0,0,0,2.65,0,2.79,0,0,0,0,0,0,0,1.82,0,207.57,0,4.05,1.46,0,0,0,25.47,0,0,0.8,0,0
 48-58,0,0,7.87,0,0,29.57,0,0,0,7.55,0,0,0,0,0,2.73,0,292.26,0,0.37,0.66,0,0,0,31.01,0,0.42,0.47,0,0
 60-70,0,0,1.15,0,0,19.45,0,0,0.98,7.03,0,0,0,0,0,6.01,1.2,642.54,1.31,0,0,0,0,0,67.6,0,0,0,0,0
 72-82,0,0,12.6,1.26,0,49.16,0,2.19,0.76,17.4,0,0,0,0,0,11.38,4.86,845.17,0,5.48,1.38,0,0,0,33.59,0,0,0.6,1.78,4.86
 84-94,0,0,3.65,4.09,0,71.4,1.27,0,1.58,2.23,0,4.56,0.61,10.27,0,9.99,4.46,603.91,0,11.18,0.69,0,0,0.82,51.14,0,0.63,0,4.11,0
 96-106,0,0.63,4.43,6.78,1.05,51.51,0.64,0,0,21.42,0,0,0,0.71,1.08,10.84,5.15,642.18,0,9.5,0,0,0,2.96,28.49,1.89,0,0.99,1.67,9.01
108-118,0,0,10.73,1.22,4.57,58.25,0,0,0,19.44,0.5,0,0,0,0,16.08,0,671.6,0,1.02,0,0,0.92,0,13.75,0,0,7.68,0.77,0
120,0,0,0,0,0,102.78,1.54,0,1.58,30.28,0,0,0,0,0,11.98,0,1071.41,3.88,1.77,0,0,0,0,42.59,0,6.45,0,0,0
