stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,445.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5418.77,0,0,0,0,0
  5-6,114.3,1110.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,0,8500.72,0,0,0,0,0
  7-9,10.96,3.21,0,6.82,0,0,3.4,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,84.46,5.11,0,0,18.1,0,692.09,0,0,0,0,0
 10-12,0,0,0,0,0,6.05,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.29,3.44,0,0,27.02,0,96.11,0,0,0,0,0
 14-21,0,0,0,0,69.35,0,0,0.82,0,0,6.03,0,0,0,77.14,0,0,0,0,1,6.37,0,0,9.05,0,1.08,0,0.86,0,218.57,0,4.86,0,0,0
 24-34,0,0,0,2,45.61,0,0.74,8.97,0,1.58,2.72,2.47,0,0,287.78,0,3.06,0,1.22,1.7,33.27,0,2.14,44.44,0.63,7.86,7.4,0,0,278.98,9.64,9.98,0,0,0
 36-46,0,0,0.98,0,43.46,0,3.62,2.28,0,0,4.29,2.71,0,0,97.47,0,3.57,1.55,0,2.05,18.92,0,0.6,16.17,0,10.31,3.87,0,0,374.13,6.36,7,0,0,0
 48-58,0,0,0,2.18,48.99,0,6.67,18.08,0,0,3.39,33.76,0,0,39.05,0,8.88,0.38,0,5.89,11.42,0,0.42,29.59,0,3.38,12.17,0,0,149.43,9.37,4.15,0,0,0
 60-70,0,0,1.1,0.68,71.86,0,8.31,21.3,0,0,5.61,5.12,0,0,40.16,0,12.17,1.82,0,0,6.05,0,0,36.84,0,2.05,5.58,0,0,177.28,3.2,2.27,3.73,0,0
 72-82,0,0,2.82,1.49,64.79,0,7.96,18.92,0.62,0,24.65,3.49,0,1.66,78.5,0,18.15,3.49,0,14,9.57,0,0,27.58,0,6.84,29.14,0,0,168.48,2.15,1.87,12.48,0,0.91
 84-94,0,0,3.36,1.04,144.22,6.94,2.85,21.67,0,13.78,48.19,12.86,0,0,118.39,0,14.98,10.82,0,0,12.88,1.94,0,44.27,0,24.83,27.42,0,0,339.99,6.2,1.44,33.16,0,0.68
 96-106,0,0,5.19,0,169.62,17.36,35.46,9.99,0,5.93,64.74,0,0.68,0,132.63,0,26.66,16.81,4.65,4.61,31.6,0,0,63.55,0,12.28,18.56,0,0,359.88,3.15,1.87,42.05,0,0
108-118,0,0,8.72,0.96,206.02,0,13.14,20.89,0,0,101.75,0,0,0.42,132.12,3.05,25.62,32.64,0,5.68,17.37,1.56,0,33.24,0,20.2,22.38,0,3.03,319.44,5.64,0.63,42.03,1.71,0
120,0,0,0,0,246.57,0,3.14,42,0,17.11,24.14,0,0,0,81.78,0,19.95,25.01,0,3.77,10.77,0,0,68.94,0,22.81,31.94,0,0,207.24,12.55,0,28.65,0,0
