stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01,5.58,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.57,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,1.92,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,223.42,0,0,0,0,0,3.16,0,0,0,2.03,51.75,0,0,0,0,0
 24-34,0,1.43,0,3.85,0,0,21.24,0,0,0,1.88,0,0,0,0.7,0,1.01,0,0,1.31,0,0,2.49,860.62,0,4.31,0,0,0,13.57,0,0,8.94,0,249.65,0,0,2.57,0,0.61
 36-46,0,1.55,0,1.7,0,0,19.51,0,11.38,0,3.29,0,0,0,0,0,0.69,0,0,0,0,0,1.51,1789.96,2.73,7.91,0.8,0,0,20.33,0,0,0,0,415.02,0,0,0.94,0,1.64
 48-58,0,1.86,0,14.78,0,0,194.09,3.56,2.52,1.47,22.78,0,0,3.09,0,0,0.53,2.34,9.55,11.41,0,0.37,4.42,3184.1,1.29,5.43,0.62,0,0,11.18,0,0,0,0,427.08,0,0,1.53,0,15.43
 60-70,0,0,0,11.71,0,0,680.72,0,9.29,0,25.71,0.85,0,0,0,0.63,1.77,0,9.86,27.02,0,0,0.82,5416.27,0,14.96,1.89,0,0,12.05,0,0,0,0,776.95,0,5.94,9.78,0.9,26.46
 72-82,0,3.96,0,46.61,6.69,0,1291.81,0,1.25,0.88,72.18,0,0.66,1.71,0,0.66,5.01,0,0,44.44,1.11,2.03,0.88,8333.27,1.8,13.24,7.27,0,2.81,8.73,6.61,0,1.81,0,702.13,2.62,0.9,5.67,4.02,17.51
 84-94,0,4.44,0,84.55,0,0,1169.97,0,1.52,2.94,90.86,0,1.27,1.57,0,1,0.69,6.56,0,37.94,0,1.4,7.22,6367.88,0,11.13,12.86,0,0,19.37,0,0.73,0,0,593.23,4.34,0,1.78,7.95,9.69
 96-106,0,7.79,0.88,79.99,20.87,0,1200.49,4.03,10.97,0.64,143.16,2.33,0,3.31,0.93,3.86,2.7,18.8,3.42,52.06,1.85,5.37,0,6389.96,1.35,7.73,4.51,0,0,17.88,18.99,0,0,0,327.85,2.1,0,3.74,4.69,6.71
108-118,0,1.97,0,71.82,3.72,2.73,1281.99,2.6,1.25,0.65,165.84,0,0,5.47,0.42,12.52,2.12,3.04,0,36.03,0,2.5,6.19,6523.25,0,14.73,3.01,0,0,9.76,0,0,0,0,301.43,8.48,3.33,1.86,2.52,9.05
120,0,0,0,83.82,1.79,0,1825.94,0,4.44,0,369.8,1.73,0,0,4.52,0,3.84,0,0,58.55,13.87,2.35,7.75,11090.79,0,12.46,4.64,0,0,22.99,0,0,0,0,664.77,1.37,0,29.04,0,0
