stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,38.44,5.61,0,0,0,0,0.81,1.85,1.87,42,0,0,0,0,0
 24-34,0,1.97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,304.63,0,0,1.16,0,2.38,0,0,0,110.98,0,0,0,0,0
 36-46,0,0.69,0,3.97,0,0,0,1.9,0,0,0,0,10.34,0,0,0,2.8,0,0,570.36,0,0,0,0,7.78,0,1.55,0,97.9,0,0,0,0,1.28
 48-58,0,6.79,0,17.67,1.44,0,0,15.03,0,0,0,0,0,2.07,0,0,6.11,0,0.79,976.63,0,0,0,0,3.08,0,0,0,82.78,0,0,0,0,1.12
 60-70,0,6.15,0,142.82,0,0,0.9,9.64,0,0,0,0,0,0,0,0,9.43,0,1.08,1500.87,0,0,0,0,0,0,1.12,0,106.71,0,0,0,0,0
 72-82,0,12.87,1.14,365.71,0,0.8,9.34,29.12,0,0.68,0.63,0,0,0.61,0,6.69,13.81,0.58,3.59,1874.85,0,0.63,3.87,0,2.12,0,0.66,0,68.28,1.42,1.7,5.57,2.27,4.63
 84-94,0,13.39,0,217.12,6.71,0.68,2.97,19.15,0,0,0,0,0.67,1.3,0,0,16.31,0,1.94,1269.59,0,0,6.49,0,3.27,0,0,0,26.64,0,0,0,0.57,2.78
 96-106,0,2.94,6.03,336.55,0,1.49,0,15.44,0,0.72,0,0.86,0.75,1.99,2.67,0,26.96,0,3.14,1104.41,0,2.08,2.61,3.14,0.57,0,0,0,28.89,0.68,0,4.27,1.91,0
108-118,0,2.82,0,247.01,0.46,0,0,21.11,0.71,0,0,0,0,2.43,0,0,10.57,0,1.49,1106.41,0,1.11,2.49,0,0,0,1.62,0,23.88,1.35,0,2.09,0,0
120,0,19.27,0,242.38,0,0,0,39.52,0,0,0,0,0,2.13,0,0,13.53,0,0,1491.78,0,0,3.92,0,0,0,0,0,36.42,0,0,13.5,0,0
