stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,1.59,0,0.95,0,0,1.07,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.68,0,95.71,0,3.7,13.02,0,1.31,0,0,1.45,0,0,2.84,0,0
 36-46,0,0,0,0,0,7.34,0,0,0,0,0,0,217.92,0,0,54.19,0,0.79,0,0,2.35,0,0,0,0,0
 48-58,0,0,0,9.44,11.01,38.82,0.89,0,0,0,0,0.53,282.04,0,0,37.23,0.89,0.85,0,0,8.51,0,0,0,0,0
 60-70,0,1.86,0,13.9,0,87.96,2.41,0,0,0,0,0,384.71,0,0,22.6,0,0,0,0,2.59,0,0,0,0,0
 72-82,0,1.2,0,41.2,5.93,311.51,5.85,0,0,0,0,0,622.23,2.68,2.69,74.3,0,0,0,2.46,0,1.87,0,0,0,2.54
 84-94,0.85,0,0,30.4,2.61,220.93,1.27,0,0,0.65,0,0,557.48,3.04,0,20.43,0,1.14,0,1.26,3.25,0,1.26,0,1.07,0
 96-106,0.88,1.41,1.47,29.61,2.12,184.37,2.59,2.08,0,0,0.57,0,510.99,0,0,69.6,0,0,0,6.26,0,0,0,0,8.1,0
108-118,0.66,0,0,8.76,0,201.83,1.03,0,0,0,3.33,0.95,803.59,0,1.14,16.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.96,0,16.26,16.58,0,27.64,0,0,0,420.31,0,0,11.29,3.57,0,0,0,0,2.31,0,0,0,0
