stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.73,0,0,5.57,0,0,0
 14-21,0,4.4,0,0,0,0,0,0,0,9.49,0,0,0,0,0.82,0
 24-34,0,0,0,0,0,1.17,0,0,0,4.41,0,0,0,0,6.87,0
 36-46,0,0,0,0,0,0.68,0,0,1.13,1.62,0,0,0,1.81,0.71,0
 48-58,0,0,0,0.55,5.98,0,0,0.64,0,4.72,0,0,0,0,1.15,0
 60-70,0,0,0,4.81,1.82,0,0,1.32,0,4.06,0,0,0,3.53,0,0
 72-82,0,0,0,1.9,0,0,0,0.59,0,13.94,0,0,0,0,1.38,0.81
 84-94,0,3.01,0,0,0,0,0,0.55,0,9.31,0,0,0,0,0,0
 96-106,0,0,9.78,1.31,0,0,0,0.93,0,1.39,0,0,0,0,0,0
108-118,0,0,0,2.68,0,0,0.63,0,0,1.91,0.69,1.19,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0
