stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,266.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.1,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.45,0,0,0,30.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.79,5.2,0,0,30.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.05,3.48,1.71,0,0,3.27,0,0,0,0,0,0,0.86,4.03,0,0,7.76,113.04,0,1,0,1.66,0,2.64,0.94,4.65,20.36,0,0,1.29,0
 24-34,0,0,0,4.93,0,11,0.8,0,0.66,0,0.69,0,0,0,0,0,21.15,0,0,2.88,210.27,1.07,1.07,0,0,0.75,0,0,2.03,28.46,0,0,4.56,0
 36-46,0,0,0,0,0,45.71,0,0.57,9.95,0,0,0,0,0,0,0,23.79,0,0,7.96,198.79,2.89,1.98,0.66,0,0,0,0,0,52.83,0,0,0,0
 48-58,0,0,0,0.37,0,48.82,0,0.58,5.24,0,0,0,0,0,0,0,18.57,0,0.43,9.92,121.14,0,0.37,0.38,0,1.28,0,0,0,34.24,0,0,5.35,0
 60-70,0,0,1.1,0.69,0,144.58,0,0,16.98,0,0,0,0,3.07,0,0,32.23,0,0,2.92,148.71,0.75,0,0.63,0,1.03,0,1.35,0,25.45,0,0,1.62,0
 72-82,0,0,0.97,3.2,14.51,132.79,0,0,11.29,0,0,0.61,0,0,0,0,28.73,0,3.75,1.15,148.82,0,0,0,0,6.42,0,0,0,6.81,1.21,0.66,1.14,2.52
 84-94,0,0,0,4.94,0,56.33,0,0.59,10.42,0.57,0,0,0,0,0,1.11,15.96,0,0,3.2,60.03,0,0,0,0,1.89,0,0,0,12.53,3.4,0,4.73,0
 96-106,0,0,0,0.61,2.65,58.66,0.58,0,11.97,0,0.73,0,0,0,0,0.6,20.47,1.65,0,5.87,38.41,0,0,0,0,0,0,0,0,0,0,0,14.49,0
108-118,0,0,0.57,1,2.15,54.77,0,0,10.3,0.74,0,0.87,0,0.88,0,0,20.35,0,4.1,3.37,28.15,0,0,2.98,0,1.05,0,0,0,0,0,0,0,0.63
120,0,0,0,0,4.28,23.52,0,0,20.71,1.02,0,0,2.19,0,1.62,0,24.2,0,0,0,99.86,0,0,0,0,0,0,0,0,10.83,0,0,0,0
