stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,4.24,0,0
 10-12,0,0,0,0,0,0,0,10.83,0,8.28,0,0
 14-21,0.86,0.9,0,0,0,0.95,0,1.75,0,0.82,0,2.01
 24-34,0,0,0,0,0,5.51,0,1.79,0,0,0,0
 36-46,0,0,0,0,0,0,0.67,5.88,0,0,1.62,0
 48-58,0.82,0,0.85,0,0,2.02,0,3.67,0,0,0,0
 60-70,0,0,12.29,0,2.42,0.78,0,2.82,0,0,0,1.05
 72-82,0,0,4.85,0.96,0,1.16,1.42,0,0,0,0,0
 84-94,0,0,12.11,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,4.1,0,0,0,0,0,1.13,0,0,0
108-118,0.47,0,9.48,0,0,0,0,0.52,0,0,0,0
120,0,0,5.37,0,0,3.35,0,0,0,0,0,0
