stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0
 14-21,0,0,0,0.86,0,0,0,0.91,3.01,0,0,0,1.19,0
 24-34,0,0,0,0.93,3.98,0,0.85,0,4.38,0,0,0,5.24,0
 36-46,0,0,0,0,29.16,0,0,0,2.58,0.65,0,0,4.5,0
 48-58,0,0,0,4.81,35.26,0,2.2,0,3.55,0,0,0,16.77,0
 60-70,0,0,0,9.97,60.32,0,0,0.72,5.32,0,0,0,16.13,0
 72-82,0,0,0,46.47,81.16,0,1.21,0,5.98,0,0,0,4.31,0
 84-94,0,0,0,91.34,110.46,0,1.73,0,15.69,0,0,0,17.76,0
 96-106,0,0.59,0,96.62,95.55,0,0,0,5.6,0,0,0,19.53,1.93
108-118,0,0,0,106.97,99.45,0,0.47,0,7.97,0.52,0,0.47,3.02,0
120,0,0,2.24,122.79,87.99,2.35,0,0,3.05,3.75,0,0,8.3,0
