stage,blastomeres,eye,mesenchyme,neural
  3-4,23.62,0,0,0
  5-6,17.82,0,0,0
 10-12,0,9.23,0,13.19
 24-34,0,0,0,1.1
 84-94,0,5.78,0,0
 96-106,0,0,1.99,0
