stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.03,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.17,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,1.06,6.82,0,0,0,0,0,6.64,0,0,2.31,2.78,0,0,0,0,0
 24-34,0,0,0,3.07,0.62,2.5,0,0,0,0.95,0,0,0,0,0,0,1.39,0,13.59,0,0,2.52,87.42,0.67,1.71,0,0,0,16.35,0,0,1.91,21.81,0,0,5.16,0,0.76
 36-46,0,0,0,7,0,14.1,0,3.67,0,2.38,0,0,0,7.08,0,0,0,5.18,15.23,0,0,1.51,86.51,0,0,0,0,0,32.96,0,0,0,34.2,0,0,6.36,0,1.19
 48-58,0,0,0,0.68,0,21.37,0.58,0,0,3.66,0,0.69,0.52,0,1.9,0,1.04,0,18.93,0,1.23,3.21,137.7,1.05,0.39,0,0,0,35.11,0.42,0.58,0,23.29,0,0,0.42,0,1.15
 60-70,0,0,0,3.76,0,51.51,2.21,5.49,0,18.13,0,0,5.52,0,0.61,0,0,3.9,13.87,0,0,4.25,187.65,0,3.04,0,0,0,61.76,0.68,0,0,24.5,0,0,0.89,0,0
 72-82,0,0,0,9.69,0.86,33.93,0,4.65,0,5.99,0.66,0,0.5,0,0.73,0,0,1.45,50.76,0,0,2.86,145.92,0,0,2.69,0,0,61.36,0,2.66,0,35.49,0,0,3.67,0,0
 84-94,0,0,1.18,10.17,0,29.77,0,2.83,1.88,2.7,0,0,0.82,1.96,0,0,0.74,0.73,23.48,1.05,4.3,0,91.84,0,0,2.07,0,0,135.64,2.53,0,0,2.42,0,0,3.67,0,0
 96-106,0,0,0,18.07,0,43.76,0,2.11,0,20.55,2.08,3.14,3.53,5.31,0.77,0,0,1.5,40.98,3.69,1.72,2.16,125.8,0,3.41,1.14,0,4.63,220.99,0,0,0,1.43,0,0,2.76,0,5.83
108-118,0,0,0,21.02,1.45,20.83,0,4.74,0.52,15.04,1.11,0,5.42,4.17,2.78,2.55,0,5.85,35.36,3.41,0,3.22,136.26,0.5,2.15,0.55,0,0,201.11,0,0,0,11.55,1.39,3.03,0.98,0.57,7.46
120,0,0,0,25.76,1.38,41.62,0,0,0,1.75,3.2,9.61,0,2.26,0,0,0,1.61,58.33,3.79,0,3.04,158.73,16.67,0,12.9,0,0,135.73,2.98,1.22,0,0,0,22.66,2.45,0,9.75
