stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.04,0.86,6.82,1.02,0,2.73,0,0,0,5.29,0.9,0,0,0,0,0,0,0,0,4.94,0,0,13.19,73.93,3.3,0,0,0.81,0,0,4.59,2.33,0,16.48,33.66,0,0,2.73,0,0
 24-34,1.29,0,3.33,1.68,0,6.07,0,0,1.15,3.99,0,1.09,0.69,0,0.79,0,0.93,0,0,10.09,0.9,0,4.33,175.5,1.6,2.88,1.12,0,0,5.66,0,0.81,2.45,1.89,25.57,0,0,5.13,0,0
 36-46,0,0,0.73,0,0,51.22,0,0,3.94,9.56,0,0,0,0,0,0,0,5.03,0,10.46,0,4.04,6.36,237.86,2.3,2.71,0,0,0,4.77,0,1.03,0,0,57.45,0,0,0,0,2.23
 48-58,0,0,0.42,0,0,35.01,0,0,1.65,9.05,0,0,0.44,0,0,0,0,0,7.74,16.13,1.19,0,3.41,162.9,0,1.27,4.26,0,0,13.85,0,0,0,0,23.75,0,0,2.33,0,0
 60-70,0,0,6.86,0,0,75.36,4.5,0,0.67,11.26,0,0,0.69,0,0,0.85,0.79,0,0.59,25.29,0,0,0,132.49,1.57,3.81,1.42,0,0,9.06,0,0,0,0,30.54,0,0,3.26,0,0
 72-82,1.09,0,2.27,0,0,71.2,0,2.01,1.04,16.85,3.43,0.6,0,0.83,0.56,2.08,0,0,0,26.15,0,0.89,4.66,124.03,0,0,2.5,0,0,8.81,0,0,0,0,24.91,0.87,0,2.05,1.65,9.21
 84-94,0,0,6.65,4.18,0,53.44,0,1.22,1.74,23.84,3.16,1.3,0.7,1.68,0,6.53,2.31,2.58,2.78,36.05,0,2.97,6,67.83,0,0,5.87,0,0,32.12,0,0.87,0,0,17.23,0,0.89,0,0,1.25
 96-106,0,0,4.13,0,0,37.45,0,1.73,0,20.92,2.01,0,0,1.42,0.81,1.36,0,0,0,29.25,2.72,0,5.31,60.34,0,5.21,2.6,0,0,24,0,0,0,0,19.41,0,0,5.03,1.08,0.58
108-118,0,0.74,9.02,1.79,0.74,46.06,0,1.84,0.46,26.57,2.08,0,0,0.43,1.78,0.73,0,0,0,47.31,0,1.99,2.8,119.99,0,1.65,6.42,0,4.36,8.04,0,0,0,0,24.84,0,0.69,3.81,1.15,0
120,0,0,9.48,0,1.03,44.34,1.18,0,0,59.15,0,0,1.85,0,0,0,0,12.67,0,24.74,0,0,4.98,188.48,0,0,14.25,0,0,11.8,0,0,0,0,8.98,0,0,7.56,0,9.75
