stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,4.75,0,0
 14-21,15.46,5.4,2.45,0,0,0,1.61,0.81,0,8.53,77.5,25.67,0,10.2,0,86.61,54.07,905.17,3.23,0
 24-34,0.82,0,0,2.52,0,1.34,2.9,0,0,16.76,28.41,5.99,0,0,0,1.19,1.74,54.63,7.32,1.2
 36-46,0,0,0,0,0,0,0,0,0,8.8,4.33,3.3,0,0,2.02,0,0,0,0.7,0
 48-58,0,0,0,2.27,0,0,0,0,0.8,8.86,2.76,3.48,4.97,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.83,0,0.86,0,0,14.91,0.79,7.02,0,0,0,0,0,0,2.71,0
 72-82,0,0.71,0,2.43,0,3.84,0.87,3.93,0,16.5,0.59,15.37,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,2.25,0,0,0,0,0,5.6,5.33,10.28,0,0,0,0,0,0,0,0
 96-106,0,2.65,0,0,0,0,0,0,0,3.03,5.97,0,0,0,0,0,0,0,0,0
108-118,0,10.28,0,0,0,6.93,0,0,0,1.53,4.23,2.34,0,0,0,0,0,0,0,0
120,0,0,0,0,0,10.19,0,0,0,31.48,3.04,45.58,0,0,0,0,0,0,0,0
