stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,2.15,3.38,0,3.68,0,0,0,1.09,0,0,0,0,5.09,2.05,35.08,0,0,0,0,0.87,2.56,7.22,0,0
 24-34,6.61,0,0,9.33,0,0.62,2.33,0,0,0,1.45,0,6.23,2.69,91.1,0,0,1.72,3.95,0,2.14,13.44,3.4,0
 36-46,0.6,0,0,4.25,11.58,2.61,9.28,0,4.5,0,0,0,13.24,1.32,177.02,0,0.56,0,0,0,0,44.87,1.1,0
 48-58,0.73,0,0,25.47,7.54,0,6.79,0,0,0,0,0,8.12,3.77,67.93,0,0.86,0,0,0,0,9.74,2.36,0
 60-70,6.76,0,0,32.24,0,0,26.23,0,0,0,0,0,8.31,0,70.81,0,0,1.97,0,0,0,27.48,0,0
 72-82,0,0,0,21.99,0,0,12.4,0,3.53,0,0,0,20.71,2.78,87.83,1.4,0,0.49,0,0,0,11.94,1.12,0.93
 84-94,5.7,0,0,18.94,0,0,10.56,0,0,0,0,0,19.3,0,60.13,0,0,1.83,1.69,0.74,0,0.93,1.88,0
 96-106,0,0,0,10.09,0,0,14.17,0,0,0.66,0,0,8.26,0,48.56,0,0,4.97,1.59,0,0,1.64,2.52,0
108-118,3.69,0,0.45,3.7,0.49,0,23.54,0,0,0,0,1.49,15.69,0.5,74.69,0,0,2.47,4.29,0,0,0,2.79,0
120,3.12,0,0,16.96,2.16,0,21.89,0,0,0,0,0,36.02,0,110.66,0,1.09,0,1.28,0,0,0,0,0
