stage,axial,blastomeres,endoderm,erythrocytes,eye,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  3-4,20.08,44.13,0,0,0,0,0,0,0,0
  5-6,0,11.03,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.22,20.67,3.59,9.44,0,0
 10-12,0,0,3.45,6.59,3.73,38.09,26.51,19.88,3.29,0
 24-34,0,0,0,0,0,0,0,0,0,1.62
