stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,98.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,206.4,8.02,0,0,0,0,0,0,0,0,0,10.51,0,12.15,0,0,0
  7-9,0,7.64,0,4.87,0,0,3.49,0,0,0,0,121.09,0,21.22,0,0,0
 10-12,0,6.16,0,0,0,0,0,0,0,0,0,126.72,0,28.3,0,0,0
 14-21,0,0,0,0,1.23,0,0,0,0,0,1.89,7.91,0,0,0,0.81,2.74
 24-34,0,1.2,1.21,0,0.63,0,0,0,2.68,0,0.73,12.83,0,0,0,0,1.1
 36-46,0,0,0.65,2.72,1.09,0,0,0,7.06,0,0,17.47,0,0,9.07,0,2.41
 48-58,0,0,0,2.73,0.63,1.15,0,0,0,2.59,0.41,13.49,3.66,0,0,0,1.32
 60-70,0,0,0,11.62,0,0,0,0,0.57,0,0,15.4,0,0,0.64,0,1.67
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0
 84-94,0,0,0,0,1.6,0,0,0,2.59,0,0,1.74,0,0,0,0,1.01
 96-106,0,0,0,0,2.08,0,0,0.73,0,0,0,3.19,0,0,0,0,0
108-118,0,0,1.03,0.62,0,0,0,0,1.01,0,1.05,0.81,0,0,0,0,0
120,0,0,0,0,7.49,0,0,0,0,0,0,2.78,0,0,0,0,0
