stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vasculature
  3-4,0,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.23,39.44,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0
  7-9,0,0,0,4.06,0,0,0,0,0,3.55,0,0,0,7,0,3.32,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.32,0,0,0,0,0,0,2.06,0,0,0,0,0,0
 24-34,0,0,0,0,1.3,0,0,0,0,0,0,1.69,1.13,31.37,0.62,0,0,0.67,0.87,1.46
 36-46,0,0,0,0,0,0,1.51,0,2.02,0,0,0.67,0.85,32.27,0,0,0,0,5.2,0
 48-58,0,0,0,0,0,0,2.66,1.03,1.28,0,0,3.18,0,16.64,0,0,0,0,5.74,0
 60-70,0,0,0,0,0.97,0,1.42,0,5.11,0,0,5.68,0,22.35,0,0,0,0,1.13,0
 72-82,0,0,0,0,0.58,0,1.63,0,1.5,0,0,3.57,0,20.73,0,0,0,0,12.83,0
 84-94,0,0,0,0,0,1.06,15.94,0,0,0,0,0.6,0.56,13.65,0,0,0,0,5.37,0
 96-106,0,0,0,0,0,0,11.75,0,0,0,0.75,2.76,0,16.33,0,0,0,0,0,0
108-118,0,0,0.57,0,0,0,1.13,0,0,0,0,1.79,0,11.08,0,0,1.08,0,0,0
120,0,0,0,0,0,0,4.62,0,8.37,0,0,0,0,14.75,0,0,0,0,0,0
