stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.21,0,0,0,0,0,0,0,0,0
  5-6,96.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,279.14,0,27.35,0,0,3.78,0,0,4.93,0,0,0,0,0
 14-21,0,0,3.43,1.79,0.85,0,0,0,0,0,0,0,0,0,0,0,59.88,0,7.16,0,0,3.64,0,0,0,0,11.89,0,0.93,0,3.36,0,0,0,0,0
 24-34,0,0,4.27,0,0,0,0,0,0.9,0,0.67,2.59,0,1.86,0,1.43,49.61,0,63.55,0,0,10.86,16.5,1.18,0,0,33.75,0,0,0,0,0.61,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0.8,36.97,0,105.03,0,0,15.18,3.28,0,0,0,24.06,0,0,4.86,0,0,0,0,0,0
 48-58,0,0,0,1.21,0,0,5.44,0,0,1,0.86,0,0,0,0,0,34.58,0,95.46,0,0,14.82,11.25,0,0,0,20.19,0,0,0,0,2.93,0,0,0,0
 60-70,0,0,0,4.33,0,0,16.34,0,0,0,23.09,0,0.92,0,0,0,60.01,0,79.79,3.91,0,2.14,33.14,0,0,0,16.1,0,0,0,0,0,0,0,0,0
 72-82,0,4.33,0.56,0,6.34,0,33.57,0,8.97,1.85,145.95,0,0,0,0.59,0.69,123.79,0,54.17,1.75,0,2.22,39.21,0,0,0,19.76,0,0,0,0,0,1.14,1.22,0,0
 84-94,0,2.85,0,3.31,1.98,1.52,1.31,0,0,1.48,251.11,0,0,0.82,0,0.78,387.07,0.58,39.2,0.65,4.52,2.24,35.7,0,0,0,28.52,0,0,0,0,0,2.05,0,0,0
 96-106,0,11.28,0,9.91,15.45,0,50.39,0,2.05,5.61,444.06,0,0,0.56,0.6,0.63,473.51,0,36.83,0.81,0,5.09,115.71,0,0,0,32.2,0,0,0,0,2.58,0,1.41,0.87,2.39
108-118,0,2.42,0,2.13,3.37,2.29,17.84,0.76,0.54,6.82,629.24,0,0.48,1.59,0,1.98,595.23,0,16.52,2.65,0,0,121.67,0,0,0,40.36,0,0,0,0,1.2,4.06,1.72,4.41,0
120,0,36.44,0,3.83,4.05,0,20.85,0,0,8.34,469.2,0,3.77,0,0,0,290.55,0,16.31,1.16,0,0,92.47,0,0,5.9,13.7,0,0,0,0,1.34,0,0,0,0
