stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.53,2.46,0,3.24,0,0,1.25,0.68,0,0,0,0,181.98,0,2.84,0,0,29.11,0,0,0,1.28,0,0,0,0.81,0.5,0,5.32
 84-94,0,0,0,0,0,3.95,0,0,1.48,2.31,0,0,0,0,547.66,0,0.84,0,0,14.5,0,0,0,2.76,0,0,2,0,0,0,0
 96-106,0,0,2.87,12.69,1.07,34.25,0,0.56,0,3.1,0.91,0,0,0,768.44,0,15.74,2.75,0,98.12,0,0,4.36,5.56,2.53,3.4,0,0,0.73,0,0
108-118,0,0.84,8.69,0,0,61.57,0.67,0,3.52,1.1,0.67,0,8.41,0.51,2214.97,0.54,17.97,0,3.66,113.73,0.95,0,0,10.34,0.94,7.64,0,0,0,0,1.8
120,0,0,0,0,0,7.4,0,0,4.23,5.78,0,1.4,0,0,862.71,0,16.96,0,0,75.71,0,0,0,1.57,3.53,0,0,0,0,3.54,0
