stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,91.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.97,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.66,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.43,7.36,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,1.02,2.71,0,7.08,0,0,0,0,2.22,0,0,0,0,0,0,0,7.72,0,0,1.88,172.89,0.82,6.35,0,0.8,0,0,0,1.95,0,0,0.94,226.39,0,0,1.64,0,0
 24-34,0,0.96,0,0.86,4.55,0,35.6,0,0,0,7.95,0.68,0.69,0,0,0,0,2.18,0,9.33,0,0,7.95,1235.91,0,71.66,1.3,0,0,0,0,0,0,0,0.97,610.25,0,0,13.19,0,0
 36-46,0,0.95,0,0,0,0,181.28,0,1.39,0.64,26.54,0,0,0,0,0,0,0,0,10.58,0,0,3.41,2476.66,1.78,96.13,0,0,7.92,13.53,0,0,2.42,0,0,901.16,0,0,7.28,0,0
 48-58,1.29,0,0,19.78,0.48,0,786.27,1.83,0,0,85.41,0,0,0,0,0,0,0,0,24.09,0.41,0,4,3283.77,0,45.53,1.72,0,0,0,0,0,0,0,0,862,0,0,0.88,0,7.96
 60-70,0,0,0,15.55,0,0,4744.59,0,0,17.43,116.79,0,0,1.42,0,0,0,0,0,46.17,0,16.48,3.31,4569.75,1.73,52.95,0,0,0,0,0,0,0,0,0,985.92,0,0,0,0,5.45
 72-82,0,1.58,0,24.74,5.65,0,7377.28,0,8.06,2.23,201.01,1.12,0,0.59,1.38,0.52,0.79,3.3,0.95,86.46,0.78,1.84,2.92,5631.47,0,103.36,0.9,0,1.4,2.81,1.65,0,0,0,0,563.4,1.95,0.52,1.31,3.37,5.37
 84-94,0,0,0,72.8,5.1,0,6288.82,0,0,0.67,216.31,0.68,2.41,2.91,0,2.57,1.7,1.47,0,80.74,1.6,0.92,7.18,4111.17,0,79.28,3.14,0,0,15.02,0,0,1.1,0,0,450.41,0.9,0.64,2.59,5.49,0.58
 96-106,0,1.79,0,26.59,19.65,1.05,7580.83,1.53,1.49,0.64,226.86,1.45,0.72,3.49,0,1.29,0,16.6,0,50.51,3.88,1.76,1.68,3786.25,1.43,167.17,2.11,0,0,11.95,0,0,0,0.6,0,248.39,0.58,1.83,4.36,0.91,17.3
108-118,0,0,0,41.79,7.86,0,6903.6,0.99,2.01,1.75,201.25,6.51,0,4.47,1.27,2.91,0.45,3.93,0,64.42,2.33,0,4.25,4528.51,0.54,120.16,2.81,0,0,7.36,0,0,3.81,0,0,191.5,5.13,0,2.06,3.32,0
120,0,0,0,28.01,1.69,1.09,4353.37,0,0,0,254.01,1.38,0,9.47,0,3.86,1.88,19.66,0,48.03,0,0,3.37,4962.45,0,169.54,0,0,0,0,0,0,0,0,0,223.77,1.63,0,5.06,0,13.4
