stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.49,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54,0,0,0,13.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,7.32,0,0,216.58,0,0,0,1.8,0,0,0,0,0,0,0,47.62,5.87,0,0,3.58,37.41,0.94,0,3.85,0,0,0,8.51,2.11,0.8,4.47,19.64,0,0,0,2.11
 24-34,0,0.6,0.6,8.91,0,0,1012.99,0,0.81,0.63,6.95,1.86,0,0,0,1.03,0,2.7,1680.65,20.73,0,0,17.36,189.63,3.51,0,0.64,0,0,10.12,0,0,0,1.54,63.48,0,3.65,0,5.97
 36-46,0,0,0,2.13,2.65,0,898.51,3.21,2.83,0,9.27,0,0,0,0,9.31,0,0.62,5325.38,11.54,0.6,0.85,3.06,156.17,10.94,3,1,0,0,15.77,0,0,0,0,38.86,0,3.25,0,34.46
 48-58,0,0,0,2.77,2.13,0,819.15,0,0.41,0.67,16.81,0,0,3.31,0.49,12.01,0.48,0,3618.86,12.68,0,0,5.55,170.22,9.03,0.74,0.43,0,0,3.31,0,0,0.46,0,28.65,0,2.78,0,2.02
 60-70,0,0,0,9.38,0,0,1320.81,0.99,0.63,0,13.12,0,0,0,0,12.74,0,0,2354.63,32.47,0,1.84,4.9,163.63,1.17,0,0,0,0,4.07,0,0.73,0,0,27.02,0,0,0,0
 72-82,0,0,0,1.81,3.1,2.97,859.81,0,0,4.33,13.68,1.99,0.79,0.98,0,13.7,0,0,1094.24,32.3,6.51,2.09,2.95,85.86,0,0,4.02,0,0,1,0,0,2.88,0,10.62,0,0.67,2.56,2.1
 84-94,0,0,0,4.04,7.12,0,1761.3,0,0,6.02,21.17,0,0,8.31,0,21.25,0.76,18.41,2209.14,37.62,0,1.13,2.13,72.45,6.56,0,1.14,0,0,9.55,0,0,1.18,0,17.73,0,6.05,0,3.26
 96-106,0,0,0,6.21,1.54,6.85,1059.29,0.62,1.61,0,22.82,1.78,0,2.56,0,15.5,0,0,1298.77,14.96,2.21,0,0.61,120.8,2.08,0,0,0,0,9.55,0,0,0,0,0,0,1.17,1,9.01
108-118,0,0,0,1.98,0,21.92,1155.74,0,0,5.21,21.62,3.55,0,0.44,0.47,17.17,0,1.1,1624.4,22.93,2.55,0,2.17,91.73,0.83,0,0,0,3.19,6.67,0,0,0,0,0.55,3.42,1.56,1.7,8.11
120,0,0,0,0,3.32,0,523.33,0,4.18,0,31.49,4.82,0,0,0,7.2,0,0,719.7,35.02,0,0,2.3,135.51,10.52,0,0,0,0,3.22,0,2.61,0,0,14.94,0,0,0,0
