stage,axial,blastomeres,endoderm,eye,ionocyte,neural,notochord,paraxial.mesoderm,periderm,somites
  3-4,39.15,606.77,0,0,0,0,0,0,78.52,0
  5-6,29.87,454.5,0,0,0,0,0,9.09,0,0
  7-9,0,12.8,3.95,35.97,0,205.15,12.54,52.64,0,0
 10-12,0,0,0,7.94,0,21.94,0,34.38,0,5.61
 14-21,0,0,0,0,7.54,0,0,0,0,0.89
 24-34,0,0,0,0,0,0,0,0,0.65,0
