stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,55.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.32,0,0,4.61,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,12.61,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.85,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,70.4,0,0,0,34.94,0,0,4.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,12.26,0,1.13,0,0,0,1.23,1.84,0,0,0,0,0,3.28,0,0,1.67,17.24,0,0,0,1.37,0,0,0,4.62,0.86,0,5.93,17.96,0,0,0,0,0
 24-34,0,0,2.95,0,8.01,0,1.53,0,0.78,1.01,0,1.25,0.89,1.05,0,8.88,0,0,9.41,22.9,0,0,0,0,0,0.78,0,0,2.88,0,0,1,0,0,0,0,0
 36-46,0,0,9.49,0,0,0,0,0.57,1.08,2.45,0,3.72,0,0,0,2.88,0,0,3.17,87.09,0,0,0,0,0,0,0,0,0,4.33,0,1.93,0,0,0,0,0
 48-58,0,0,5.73,0,18.82,0,0,0,10.04,0.49,0,1.62,0,0,0,13.48,0,0,0.53,137.74,0.39,0.44,0,0,0,0,0,0,0,2.67,0,5.47,0,0,1.49,0,0
 60-70,0,0,9.71,0,23.1,0.89,3.68,0,7.81,0.69,0,19.39,0,0,8.67,25.02,0,0,1.27,104.55,0,0,0,0,0,0,0,0,1.9,0,0,2.53,0,0,0,0,0
 72-82,0,0,4.21,0,16.46,0,0,0,17.61,0,0,5.3,0,3.37,19.72,34.82,0,0,3.03,108.68,0,0.49,0,0,0,0,0,0,2.39,1.05,0,1.65,0,1.44,4.75,0,0
 84-94,0,0,8.49,0,18.62,0,1.69,0,5.55,0.64,0,14.86,0.61,0,12.13,21.47,0.76,0,2.5,71.1,0,0,2.33,0,0,0,0,0,0.64,0.81,0,3.41,1.17,0,0,0,0.55
 96-106,0,0,8.46,2.29,15.4,0,3.73,1.11,6.52,0.85,0,14.73,0,1.95,34.32,19.21,0,5.77,0.93,39.6,0,0,0.69,0,2.45,0.69,0,0,3.39,0.62,0,0,0,0,0,0,0
108-118,0,0,20.67,0,7.57,0,1.58,2.4,15.92,0.52,0,16.94,0.7,4.42,30.6,38.77,0,0,2.61,38.85,0,0,1.35,0,0,0.89,0,0,0.41,0.5,0,3.78,0,3.21,0,0,0
120,0,0,35.54,1,9.92,0,0,0,5.16,5.14,0,49.84,0,0,21.82,42.35,0,6.16,1.23,55.34,0,0,1.98,0,0,1.44,0,0,0,0,0,2.78,0,0,4.99,5.63,0
