stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,86.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,126.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.42,0,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,0,9.73,0,139.74,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.91,0,0,0,35.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.23,0,0,0,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.94,0,0,0,31.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,1.99,0,0,2.05,0,0,0,2.28
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,52.54,0,0,1.28,2.37,0,4.88,0,0,0,0,0,0,0,0,1.14,0.95,0,0,0
 36-46,0,0,0,0,2.39,0,0,3.56,0,0,0,0,0,0,0,0,385.55,0,0,0,5.02,0,19.31,0,0,0,0,2.65,0,0,0,0,14.65,0,0,5.08
 48-58,0,0,0,0,1.99,0.4,0,21.67,0,0.5,0.73,0.89,0,0,1.16,0,996.64,0,0,0,2.85,2.01,57.23,0,0,0,0,0.78,0,0,4.15,0,10.31,0,0,8.42
 60-70,0,0,0,0,2.17,0.57,0,38.12,0,3.99,0,2.24,0,1.95,0,0,2374.93,0,0,0,16.69,0,73.12,0,4.71,0,0,14.24,0,0,1.58,0,14.22,0,0,4.2
 72-82,0,0,0,0,13.15,0,0,43.06,1.31,0,2.23,9.14,0,0,0,0,2361.06,0,0,2.55,21.25,0,86.53,0,0,0,0,2.22,0,0,8.69,0,1.11,0,1.23,38.76
 84-94,0,0,0,0,6.18,0.57,0,31.94,0,0,0,1.73,0,0,3.99,0,4768.78,0,0,0,34.82,1.54,52.99,0,0,0,0,1.44,0,2.8,0,0,3.69,0,0,21.38
 96-106,0,0,0,11.18,2.28,3.38,0,48.23,2.84,0.69,0,4.52,0,0,1.69,0.66,4276,0,50.95,0,35.98,1.43,87.76,4.68,2.72,1.96,0,6.86,0,16.3,0,0,0,0,0.98,49.54
108-118,0,0,0,0,3.51,7.3,0.99,16.77,0,0.5,1.6,14.07,1.66,0,0.87,1.68,8012.23,0.95,2.47,0,17.96,3.07,60.13,0,0,0,0,32.5,0,0,0,0,0,1.88,0,53.19
120,0,0,2.94,0,8.79,6.08,0,16.23,0,0,5.27,6.82,0,0,0,0,4793.33,0,0,0,6.61,0,43.3,10.25,0,0,0,0,0,0,0,0,0,0,0,7.7
