stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.41,174.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,0,0,0,0,0
  5-6,10.76,193.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,43.05,0,0,0,0,0,5.39,0,0,0,0,0,0,135,4.26,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,21.38,0,0,0,0,0,0,0,0,0,0,0,0,197.5,0,0,0,49.87,0,0,3.03,0,21.8,0,0,0,0,0,0
 14-21,0,0,0,1.72,1.78,1.97,0,0,0,0,0,0,0,0,0,2.68,0,0.82,22.81,0,0.92,0,1,0,0,0,8.24,0,2.9,12.13,0,0,0,0
 24-34,0,0,0,2.06,0,2.26,0,0,0,0,0,0,0,0,0,8.55,0,4.78,56.05,0,0,0.85,0,0,0,0,0,0,0,17.77,0,3.47,0,0
 36-46,0,0,0,1.92,0,17,0,0,0,1.62,0,0,0,0,0,6.48,0,1.18,91.15,0,0.83,0,0,0,0,0,0,0,0,25.77,0,0,0,0
 48-58,0,0,0,0.76,0,12.53,0,0,0,4.35,0,0,1.05,0,0,7.29,0,2.06,83.97,0,0,0,0,0.79,0,0,0,0,0,19.84,0.84,1.15,0,0
 60-70,0,0,0,0.64,0,45.69,0,1.33,0,5.69,0,0,2.9,0,0,8.77,0,5.64,100.82,0,0,0,0,0,0,0,0,0,0,10.7,0,2.38,0,0
 72-82,0,0,0,0,14.21,41.01,0,0,0,1.24,0,0,0,0,0,9.77,0.88,0.69,56.35,0,0,0,0,0,0,0,0,0,0,13.81,0,2.82,0,4.1
 84-94,0,0,0,0.62,1.53,28.12,0,0,0,1.93,0,0,0.98,0,1.94,19.01,1.27,1.13,59.41,0.62,1.11,0,0,0,0,0,0,0,0,3.93,0,7.82,0,0
 96-106,0,0,0,9.43,15.86,32.25,0,0,0,1.19,0,0,0.86,0,0,14.74,4.06,0,52.08,0,0,0,0,0,0,0,0,0,0,2.38,0.77,1.97,2.88,0
108-118,0,0,0.83,1.61,6.16,19.29,2,0,0.48,6.35,1.2,0,1.27,3.7,1.79,7.2,0,1.46,68.25,0,0,0.72,0,0,0,0,0,0,0,4.47,0,0,0.55,0
120,0,0,3.9,4.93,15.88,1.99,0,0,0,0,0,0,0,0,0,10.59,0,0,109.94,0,3.36,4.9,0,0,0,0,0,0,0,1.74,0,0,0,0
