stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,periderm,slow_muscle,spinal_cord
 14-21,0,0,0.86,0,1.27,0,10.68,0,0,1,2.18
 24-34,0,0.68,2.78,0,0,0.76,32.05,0,0,0,10.61
 36-46,0,0.75,1.13,0,0,0,38.98,0,0,0,4.3
 48-58,0,3.92,10.53,0,0,0,24.01,0.66,0,0,3.61
 60-70,0.95,9.65,7.86,0,0,0,22.49,0,0,0,9.45
 72-82,0,2.71,10.43,1.05,2.02,0,7.09,0,0,0,2.81
 84-94,0,4.12,3.11,0,4.38,0,9.92,0,0,0,2.06
 96-106,0,4.41,5.21,0,2.45,0,12.58,0,2.07,0,2.06
108-118,0,3.79,9.48,0,0,0,12.01,0,0,0,0
120,0,6.17,3.5,0,0,0,0,0,0,0,0
