stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0
 14-21,0,0,0,0,0,1.07,0,0,0.81,0,0,0,0,0.92
 24-34,0,0.69,0,0,0,0,0,0,4.71,0,0,0,0,0
 36-46,0,0,0.82,0,0,0,0,0,0,0.58,0,0,0,0
 48-58,0,0,0,0.87,0,0,0,0.6,1.74,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.95,0,0,0,2.38,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0
 84-94,0,0,0,0,0,0,1.17,0,0,0,0,5.81,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0
108-118,0,0,2.27,0,0,0,0.8,2.04,2.76,1.45,0,5.12,3.71,0
120,7.01,0,0,0,1.55,0,0,0,0,0,0,4.52,0,0
