stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,326.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.1,653.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29,0,0,0,0,0,0,0,0,0,0
  7-9,8.18,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0,296.07,3.49,0,0,63.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.27,0,0,0,0,9.53,0,0,0,0,0,35.72,0,0,0,32.25,0,0,0,9.31,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.03,2.14,0,0,0,1.6,0,0,0,25.34,0,24.28,199.92,0,0,0,0.96,0,0,0,8.96,0,15.48,41.16,1.07,0,0,0,0
 24-34,0,0,0,0,1.97,12.12,2.19,0,0,4.8,0,0,0,108.3,0,94.92,1053.81,0,0,0,0,0,0,0,0,0,0,5.44,37.55,0,0,0,0
 36-46,0,0,0.85,0,1.24,14.79,5.01,0,0,29.93,0,0,0,201.43,0,51.61,1398.73,0,0,0,0,0,0.74,0,0,0,0,0,45.04,0,0.81,0,0.7
 48-58,0,0,0,0,4.58,58.96,1.41,0,0.78,82.15,0,0,0,187.22,0,16.91,1009.62,0,0,0,0,0,0,0,0,0,0,0,36.83,0,0,0,5.71
 60-70,0,0,0,0,0.81,50.56,0,0,0,83.09,0,0,0,111.81,2.56,10.17,635.83,0,0,0,0,0,0,0,0,0,0,0,22.28,0,0,0.59,0
 72-82,0,0,0,0,9.13,88.14,0.57,0,0,112.28,0,0,0,71.21,0,8.06,543.82,0,0,0,0,1.77,0,0,0,0,0,0,14.75,0,0,0,0
 84-94,0,0,0,0,3.2,67.71,0,0,0,61.38,0,0,0.59,102.75,2.12,3.59,399.58,0,0,0,0,0,1.8,4.2,0,0,0,0,29.95,0.84,0,1.35,0
 96-106,0,0,0,0,5.04,70.81,0.85,0,0,104.76,0,0,0,56.64,0,5.74,194.26,0,0.89,0.69,0,0,3.19,0,0,0,0,0,6.52,0,0,0,0
108-118,0,0,0,0.74,3.48,65.28,0,0,3.56,88.38,0,0.88,0,50.5,0,9.6,309.75,0,0,0,0,0,0.88,0,0,0,0,0,0.61,1.62,0,0,0
120,2.39,0,0,0,2.77,42.36,0,4.15,1.6,140.36,0,0,0,23.91,0,0,324,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
