stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,0,0,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.48,0,1.86,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,1.7,0,0,3.93,53.99,1.58,0.92,0,0,0,0,5.07,0,48.85,37.49,13.24,0,0,1.35,0,0
 24-34,0,2.11,3.98,0,0,0.75,0,0,0,6.88,0,0,0,0,0,0,0,0,9.81,0,0,15.74,679.04,0,2.53,0,0,0,1.42,0,0,4.94,6.54,122.26,0,0,0,0,0
 36-46,0,0,0,0,0,52.98,0,0,0,62.11,0,0.57,0,0.63,0,0.68,0,0,41.72,0,0,23.59,1562.81,5.73,0.6,0,0,0,0.65,0,0,13.26,0,383.42,0,0,2.52,0,0
 48-58,0,0,12.6,0,0,579.78,0,6.08,0.56,95.07,0,2.16,0.47,0.39,0,0,1.87,0.41,55.33,0,1.23,25.85,1792.37,0,0,0,0,0,2.71,0,0,0.4,0,478.31,0,0,0,0,3.47
 60-70,0,0,15.13,0,0,2315.48,0,0,0.78,35.41,0,0,0,0,8.58,0,0,4.52,52.77,0,4.18,14.35,1655.55,0,0,0,0,0,0,0,11.17,0,0,322.2,0.81,0.99,1.55,0,3.23
 72-82,0,3.07,11.91,0,0,2599.82,0,0,1.07,40.12,4.74,0,0.59,0,0.57,0,1.36,0,96.76,0,7.13,15.65,1493.48,0,0,0.51,0,1.1,2.97,0,0,0,0,158.43,0,1.35,0.87,0,14.65
 84-94,0,0,10.28,0.65,0,1372.47,0.7,0.63,0,47.27,2.27,1.4,0.91,0,0.62,0,9.21,0,51.33,1.6,8.06,15.55,1118.26,0,0,1.86,0,0,7.04,0,2.39,3.06,0,131.12,0,0.64,4.51,1.38,0
 96-106,0,2.91,12.13,10.46,0,1599.65,0.86,1.15,1.53,62.14,1.06,3.23,1.35,0.73,0,4.37,19.85,0,58.09,3.81,5.45,10.37,790.64,0,0,0.68,0,0,3.9,0,3.96,2.01,0,35.29,0,0.88,13.37,0.64,6.84
108-118,0,0,12.65,1.04,0.45,1280.61,0,0,0.84,35.07,0,0.49,1.03,0.79,0,0,0,0,42.4,0,2.89,6.83,1074.81,0.41,2.1,0,0,0,0.47,0,0,1.06,0,48.11,3.42,2.88,4.37,0.49,0
120,0,0,24.71,0,0,1203.36,5.8,1.37,0,78.09,0,0,12.4,0,0,0,0,0,75.44,0,0,3.78,1571.98,0,0,13.55,0,0,1.87,0,0,1.63,0,7.55,0,1.51,0,0,0
