stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,paraxial_mesoderm,periderm
  3-4,0,87.67,0,0,0,0,0,0
  5-6,13.12,288.76,0,0,0,0,11.56,7.14
  7-9,4.2,6.81,18.69,64.97,3.23,177.85,36.46,0
 10-12,0,0,0,0,0,3.25,7.84,0
