stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.53,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,3.62,0,1.06,0,0,228.72,4.21,0,0
 36-46,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,1.62,0,36.78,0,0,160.22,0,0,0
 48-58,0,0,0,0,0,3.16,0,0,0,0,0,3.33,0,0.42,0,7.56,0,29.41,0,0,114.39,0,0,0
 60-70,0,0,0,0,0,6.55,0,4.36,0,5.1,0,7.93,0,0,1.53,9.7,0,12.32,0,0,129.92,0,0,0
 72-82,0,0,0,2.58,1.33,0,0,0,0,0,0,14.46,0,0,0,3.6,0,38.61,1.88,0,38.71,0,0,1.67
 84-94,0,0,8.98,1.94,0,0.9,0.89,0,0.66,0,3.01,7.5,0,2.59,0,0,0,82.24,0,0,72.48,0,0,0
 96-106,0,0.87,17.93,0,0.96,12.08,0,0,0,0,0,29.98,0,0,0,4.98,0.57,63.38,0,0,59.17,0,0,0
108-118,0,0,7.21,3.11,0,4.16,0,0.77,0,0,0,23.6,8.77,4.95,2.05,6.69,0,109.22,0.51,3.23,62.31,0,0,0
120,0,0,3.17,5.93,0,0,0,2.63,0,0,6.52,30.33,0,0,0,0,0,95.83,2.3,0,151.13,0,4.55,0
