stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,9.59,188.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0
  5-6,14.7,160.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0
 10-12,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,14.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,2.62,0,20.84,0,0,0.83,0,0,0,0.82,4.21,0,1.09,0
 24-34,0,0,0.61,0.92,0.95,0,4.27,0,0,0,2.15,0,0,0,0,1.8,0,156.76,0.97,0,0.9,0,0,0,0,47.58,0,6.29,0
 36-46,0,0,0,0,0,0,1.38,0,0,11.61,3.35,0,0,0,1.14,8.69,1.51,301.97,0,1.29,0.78,0,0,0.72,0,55.49,0,5.37,0.67
 48-58,0.58,0,0,0,0,0,36.49,0,0,28.92,0,0,0,0,1.28,10.08,1.45,217.25,0,0,2.67,0,0,0.71,0,38.32,0,0,0
 60-70,0,0,0,4.89,0,0,193.62,0,0,18.39,0,0,0,0,0,11.43,0.72,307.15,0,1.12,0.82,0,0,0,0,21.75,0,1.24,0
 72-82,0,0,0,0,0,0.76,100.18,0,0,3.84,0,0,0,0,0,11.14,2.79,169.65,0,0,0,0,0,0,0,6.49,2.36,0,0
 84-94,0,0,1,2.54,0,0,91.74,0,1.13,12.81,0,0,0,0,0,9.22,0,115.89,0.98,0,5.24,0,0,0,0,7.16,1.27,0,0
 96-106,0,0,0,0,0,0,86.86,0,0,9.88,0,0.95,0.57,1.8,0,9.56,3.01,90.22,0.75,0,0,0,0,0,0,9.07,1.89,6.88,0
108-118,0,0,0,2.26,1.02,0,40.06,0.45,0,11.34,0.61,0,0,0,1.43,15.94,2.21,135.63,0.69,0,0,0,3.85,0,0,5.13,0.63,1.22,0
120,0,0,0,0,0,0,17.09,0,0,27.02,4.47,0,0,0,0,8.9,0,130.95,0,0,0,0,0,0,0,0,0,0,0
