stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,26.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,5.6,0,0,0,0,0,0.98,0,1.98,0,0,2.17,0,0,0,0,0,13.49,0,0,0,0,0,3.32,0,1.92,8.23,1.42,0,0,0,0,0
 24-34,0,0,0,1.75,0,0,6.42,0,0,0,0,0,1.09,0,0,0,0.63,0,0,2.28,0,0,0.97,21.41,0,0,0,0,2.73,0,0.66,0.78,2,2.59,0,0,0,0,0
 36-46,0,0,0,8,0,0,2.38,0,0,0,3.09,0,0,0,1.48,0,1.17,0,0,0.62,0,0,0,27.71,0,0,0,0,11.89,0,0,1.04,1.09,5.77,0,0,1.8,0,3.79
 48-58,0,0,0,1.55,0,0,7.18,0,0,0,2.82,0,0,0,1.08,0,0,0,0,3.16,0,0,0,47.98,0,0.5,0,0,0.77,0,2.86,0,0,7.62,0,0,0,0,0
 60-70,0,0,0,0,0,0,18.64,0,1.01,0,5.6,0.96,0,2.36,1.16,0,0,0,2.18,2.14,0,0,0,70.08,0,1.43,0,0,0,0,1.42,1.41,0,25.2,0,0,0,0,0.91
 72-82,0,0,0,4.18,1.59,0,18.66,0,0,0.93,14.4,1.23,0,0.64,0,0,0.95,5.4,0,20.42,0,0,0.97,132.61,0,1.39,0,0,10.88,0,0,1.07,0,36.73,0,2.77,2.28,0.91,4.99
 84-94,0,0,0,2.6,13.22,0,38.31,0,1.83,0,5.79,0.76,0,0.59,0.56,0.65,0,0,0,9.66,0,0,0.96,89.96,0,2.05,2.18,0,22.07,0,1.18,0,0,21.54,0,0,0,0,5.35
 96-106,0,0,0,8.01,11.71,1.66,23.85,0,0.63,2.97,22.55,1.77,0,0.68,2.17,1.14,1.25,0,0,9.09,1.62,0,2.34,72.81,0.83,1.47,3.17,0,60.23,0,0,0,0,13.21,0,1.2,4.37,0,13.18
108-118,0,0,0.75,8.83,5.81,5.93,102.93,1.15,4.26,0,20.47,11.54,0,0.43,5.07,2.29,1.28,6.68,0.84,17.76,0.42,0,1.58,107.41,0.46,0,6.06,0,23.36,0,1.91,1.79,0,10.55,0.6,1.35,2.88,0,19.65
120,0,0,0,28.13,8.68,3.02,96.61,5.69,11.5,0,64.8,3.22,0,0,0,0,2.89,0,0,31.03,5.12,13.87,8.49,177.78,1.48,12.08,20.64,0,40.66,0,0,3.8,0,0,0,6.5,12.12,0,0
