stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0
  7-9,0,4.8,0,0,0,0,0,0,0,0,0,0,44.28,0,14.91,0,0,0
 10-12,0,7.77,0,0,3.67,0,0,0,0,0,0,0,76.68,0,28.22,0,0,0
 14-21,0,0,2.03,1.61,0,0,0,0,0,0,0,0,12.23,0,0.93,0,0.88,0
 24-34,0,0,0,0,0.94,0,7.73,0.98,0,0.83,0,0,4.86,0,0,0,1.46,0
 36-46,0,0,0,0,1.06,0,0,1.59,0,0,0,0,7.98,0,0,1.04,1.92,0
 48-58,0,0,0,0.69,3.13,0.78,0,0,0.39,1.01,0,0,2.91,0.48,0,0,0.53,0
 60-70,0,0,0,0,0.64,0.63,0,0,0.85,2.4,0,0,0.77,0,0,1.26,0,0
 72-82,0,0,0,0,0.82,1.77,0,0,0,0,0,0,0,0,0,0.6,0,0
 84-94,0,0,0,0,3.12,0,0.71,0,0.9,0.62,0,0,0,0,0,1.77,0.85,0
 96-106,0,0,0,4.07,0,0,0,0,0,0,0,1.14,0,0,0,4.4,0,0.86
108-118,0,0,0,0,0.52,0,0.47,0,2.31,0,3.28,0,3.66,0,0,5.87,0,0
120,0,0,0,0,0,0,0,0,0,3.89,0,0,13.74,0,0,4.31,0,0
