stage,blastomeres,epidermis,fast.muscle,immune,ionocyte,mucous,muscle,neural,periderm,spinal.cord,vasculature
  5-6,11.47,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.05,8.05,0,0
 10-12,0,0,0,0,0,0,0,8.86,6.22,0,0
 14-21,0,0,0,0,0,0,0,0,1.48,0,0
 24-34,0,0,0,0,0,0,0,0,2.98,0,0
 36-46,0,1.08,0,0,0,0,2.51,1.06,2.08,0,0
 48-58,0,1.21,0,0,0,0,0,1.16,3.45,1.45,0
 60-70,0,0,0,0,0,0,0,9.16,0,0,0
 72-82,0,0.56,0,0,0,0,0,0,0,0,5.39
 84-94,0,2.21,0,0.71,0,2.12,0,0,4.06,0,1.07
 96-106,0,0,0,0,0,1.13,0,0,2.45,0,0
108-118,0,4.61,0,0.9,0.45,0,0,0,4.31,0,0
120,0,3.9,1.76,0,0,0,0,0,17.27,0,0
