stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.66,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,280.35,5.25,0,0,0,0,10.94,0,0,0,0,0,38.94,0,0,0,0,0,0,0,0,0,0,0,3.78,382,0,0,43.3,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,7.77,0,0,9.02,0,0,0,0,0,27.68,0,0,0,0,0,0,0,0,0,0,0,121.02,793.03,0,0,79.64,0,0,0,18.64,0,0,0,0,0,0
 14-21,0,0,3.9,3.2,15.69,1.05,0,0,0,0,1.73,0,0,0,0,1.6,0,0,0,0,4.01,0,0,5.88,36.66,410.32,0,0,1.7,0,0,2.53,0,9.2,35.21,0,0,0,0
 24-34,0,0,1.57,0,9.1,0,0.74,0,0.95,2.31,0,0,0.76,0,0.6,7.62,0,0.79,0,0,8.68,2.6,0,0.64,371.75,42.74,19.81,0,0,0,0,0,0,1.25,74.81,0,0.6,0,0
 36-46,0,0,2.75,0,21.52,0,8.05,0,1.04,0,3.24,0,0,0,0,0,3.81,0,0,0,10.03,0,0,0.58,802.93,28.03,59.43,5.79,0,0,0.72,0,0.94,0,25.96,0,0,0,0
 48-58,0,0,3.16,0,17.86,0,23.13,0,0,1.29,10.74,0,0,0,0.62,0,14.9,0,0,0,3.13,0.7,0,0,976.55,30.28,31.15,0,0,0,0,0,0,0,23.4,0,1.16,0,4.13
 60-70,0,0,5.67,0,10,1.86,78.37,0,0,0.76,1.64,0,0,0,0,0,16.85,0,0,9.71,12.45,0.65,0.62,0,1208.79,31.66,24.41,1.01,0,0,6.89,0,0,0,33.49,0,0,0,0
 72-82,0,0,6.37,0,6,5.21,162.38,1.57,0,4.56,5.86,3.44,0,0,0,0,8.4,0,0,0,11.72,4.22,0,0.69,1584.63,9.71,41.25,0,0,0,0,0,0,0,21.15,6.03,3.9,0,0
 84-94,0,0,3.1,0,11.35,0,141.74,0,0.68,0,6.83,0,0,0,0,2.23,29.41,0,0,0,10.74,8.16,0,0,898.16,9.48,43.73,0,0,0,0,0,0,0,4.14,6.01,0,0,0
 96-106,0,0,2.58,0,10.27,12.4,137.25,0,0.75,0,4.07,3.44,0,0,0,0,31.08,0,0,0,5.55,9.72,0,0,833.79,5.67,77.97,1.34,0,0,4.08,0,0,0,3.31,7.59,0,2.11,0
108-118,0,0,0.45,0,13.65,0,195.06,0,1.43,2.48,11.44,0,0,2.18,0,0,71.31,0,0.56,0,12.79,4.28,0,1.41,820.81,18.75,35.71,1.18,0,0,3.41,0,0,0,3.7,14.6,0,0,0
120,0,0,5.92,0,12.36,0,340.31,0,7.15,0,36.03,0,0,1.85,0,0,31.51,0,0,0,4.13,4.62,0,0,1260.86,25.95,65.88,0,0,3.68,3.55,0,0,0,8.02,7.25,0,0,0
