stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.89,0,16.84,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2,4.69,0,0,91.07,0,0,0,0,0,7.48,0,0,0,0,0
 14-21,0,18.27,18.02,0,0,0,0,0,0,21.99,0,0,0,0,72.46,0,0,38.59,28.38,0,0,0,0.82,0,0,15.76,0,657.99,830.96,4.55,0,2.74,0,0
 24-34,0,20.92,3.32,10.01,37.19,0,3.91,3.58,0,122.35,0,11.61,0,0,101.44,1.24,0,98.68,100.74,1.18,0,0.73,0,0,5.26,1.58,0.93,273.35,354.95,20.08,0,7.7,0,0
 36-46,0.84,17.64,1.22,1.66,103.85,0,2.79,1.03,0,109.24,0,3.97,0,0,83.13,1.08,3.82,85.25,76.86,0,1.22,5.91,0,9.86,0,0,0,208.38,17.33,2.99,0,0,0,0
 48-58,0,9.94,0.69,15.38,40.99,0,2.57,0.82,0,84.42,0,0,0,0,85.13,0,4.03,95.82,93.11,0,1.8,2.4,0,1.98,4.5,0,0,66.95,0,6.33,0.37,0,0.9,14.63
 60-70,0,4.29,0,10.12,99.22,0,2.79,3.82,0,32.05,0,0,0,0,117.16,0,5.28,87.11,75.96,2.09,0,2.62,2.43,4.65,10.35,1.38,1.95,35.94,0,6.11,1,0,0,0
 72-82,0,0.84,6.63,10.15,56.61,0,1.4,5.4,0,10.79,0,0,1.06,0,83.18,0,1.28,47.15,30.93,0.53,0,0.67,0,0,0.86,0,0,26.84,0,1.47,1.03,0,4.76,0
 84-94,0,0,0,19.24,78.34,3.69,6.71,3.16,0.67,36.85,0,0,0,0,51.18,0,2.23,60.49,50.57,0,8.03,0,0,0,0,0,0,33.31,0,1.27,1.15,0,9.45,0
 96-106,0,0,7.38,34.93,125.96,0,0.72,2.48,3.43,16.39,0,0,0.63,0.67,21.06,0,3.24,15.1,29.11,0,0,0.91,0,0.87,2.92,0,0,55.71,0,0,2.06,1.67,4.51,7.97
108-118,0,0.73,1.05,4.65,113,0,4.68,5.3,0,38.24,0.75,0,0,0.59,30.57,0,4.04,44.07,23.88,0,0,1.02,0,0.97,4.13,0,0,34.78,0,1.21,1.88,2.76,0.62,0
120,0,2.27,3.18,7.85,142.53,0,10.16,11.63,2.93,12.69,1.4,0,0,0,40.74,0,0,54.22,49.64,0,0,0,0,10.92,3.31,1.12,0,12.05,0,8.67,0,0,0,0
