stage,blastomeres,epidermis,eye,immune,ionocyte,liver,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,23.37,0,0,0,0,0,0,0,23.87,0,0
  5-6,0,0,0,0,0,0,0,0,20.72,0,0
  7-9,0,0,6.08,0,0,0,12.01,0,0,0,0
 10-12,0,0,0,0,0,0,8,4.83,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0.9,4.21,0,1.34,0,0,0,0
 36-46,0,0,0,0,0,0,1.62,0,0.82,0,0
 48-58,0,0,0,1.12,0.84,0,1.34,0,0,0,0
 60-70,0,0,0,26.03,0,0,0,0,0,0,1
 72-82,0,0,0,2.34,0.56,0,4.51,0,0,0.86,0
 84-94,0,0,0,11.01,0,0.57,0,0,0,0,0
 96-106,0,0.61,0,6.46,0.87,0,4.24,0,0,0,0
108-118,0,0,0,5.9,1.35,0,0,0,0,0,0
120,0,0,0,22.59,14.57,0,0,0,0,0,1.41
