stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,73.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,117.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.28,0,0,0,0,0,0,0,0,0,17.81,0,13.17,0,0,0
 10-12,0,0,0,0,0,0,5.06,0,0,0,0,44.35,0,7.7,0,0,0
 14-21,0,0,1.12,0,0,0,0,0,0,0,0,3.09,0,0,0.94,0,0
 24-34,0,0,0,1.48,1.05,0,0,1.63,0.62,0.88,0.77,23.26,0,0,0,1.56,1.89
 36-46,0,0,0,11.54,0,0,0,0,0,2.8,0,26.77,0,0,0,0,0
 48-58,0,0,0,9.33,0,0,0,0,0,0,0,7.69,1.36,0,0,2.5,0
 60-70,0,0,0,11.72,0.63,0,0,0,0,0.57,0,1.06,0,0,0,0,0
 72-82,0,0,0,2.6,0,1.57,0,0,0,1.67,0,0.77,0,0,0,0,0
 84-94,0,0,1.54,1.27,0,0,0,0,1.17,2.17,0,3.08,0,0,0,0,0
 96-106,0,0,0,1.82,0.83,0,0,0,0,0,0,6.86,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0
120,0,0,2.69,4.16,4.05,0,0,0,0,2.07,0,0,0,0,0,0,0
