stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord,xanthophores
  3-4,58.1,433.37,0,0,0,0,0,0,0,0,0,0,0,0,40.73,0,0
  5-6,55.48,247.06,0,0,0,0,0,0,0,0,0,19.41,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.94,0,0,0,51.12,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,77.82,4.38,0,0,0,0
 14-21,0,0,2.12,0,0,0,0,0,0,1.12,0,3.43,0,0,0,0,0
 24-34,0,0,4.17,0,0,0.68,0,0,1.29,0,1.68,3.87,0,0,0,2.21,0
 36-46,0,0,0,3.65,0.68,0,0,0,0,0,0,1.24,0,0,0,0,0
 48-58,0,0,0.39,0.64,0,0,0,0,0,0,0,5.25,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0
 72-82,0,0,0,3.62,0,0,0,0,0,0,0,0.64,0,0,0,0,0
 84-94,0,0,0,0,0,0.93,0,0,0,1.11,0,3.71,0,0,0,0,0
 96-106,0,0,0.97,0.83,0,0,3.25,0,0,8.73,0,5.76,0,0.89,10.75,0,0
108-118,0,0,1.01,1.06,0,0,1.87,0,0,0.71,0,0,0,0,0.81,0,2.33
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0
