stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,10.3,0.81,0,3.74,0,0,0,0,2.84,0,0,0,0,0,0,1.54,6.9,0,0,4.77,105.68,7.07,0,0,0,2.98,0.91,6.73,0,1.54,8.63,42.52,0,0,2.31,0,0
 24-34,0.81,1.41,5.2,0.86,0,13.23,0,0.82,0.69,0,0,1.21,2.96,0.72,0,0.86,0.68,8.54,13.75,0,0,11.12,207.21,0,6.33,1.35,0,2.68,0,0,0.71,0,4.07,38.06,0,0,1.74,0,0
 36-46,0,0,2.39,0,0,23.54,0,0,2.19,23.93,0,0.63,2.14,1.03,2.69,0,0,1.75,27.48,0,0,4.19,232.44,0.62,3.4,0.76,0,4.59,0,0,0,0,1.09,54.75,0,0,0,0,0
 48-58,0,0,3.27,0,0,48.88,0.58,1.33,0,24.24,0,0.44,0.43,4.81,0,0.69,0,1.22,39.6,0,3.12,2.86,246.26,12.41,0,1.11,0,1.92,0,0,0,0,0,63.61,0,0,1.98,0,0
 60-70,0,0,2.62,0.6,0,143.37,0,0,0.68,54.36,0,9.21,2.34,0,0,0,0,1.46,79.23,2.41,1.94,4.21,260.58,0.66,2.55,4.4,0.66,9,0,0,3.36,1.58,0,36.31,1.44,2.97,0,0,0
 72-82,0,0,6.87,14.01,0,172.92,0,0,1.91,69.39,0,2.33,2.73,0,2.63,3.18,0,8,76.65,2.2,0.77,3.38,349.06,0,1.03,4.19,0,0.54,0.56,0,0.6,0,0,52.11,0,0,1.43,2.07,0
 84-94,0,0,6.38,14.26,0,135.68,0,0.93,0.91,40.19,0.66,0,5.6,0,0.55,0.66,8.81,0,65.36,1.23,1.91,3.11,264.9,7.92,1.6,7.58,1.49,14.03,0,0,0,0,0,25.33,0,0,12.74,4.58,0
 96-106,2.41,0,10.67,12.75,0.6,107.66,0.57,0,3.69,113.93,0.74,0,2.46,0,0,2.73,0,0,70.73,2.43,7.41,5.29,175.7,3.42,2.88,7.22,1.82,10.68,0,0,0,0.6,0,17.15,2.65,0,7.41,0.83,12.05
108-118,0,0,11.19,12.59,3.6,129.1,0,2.81,2,107.77,4.36,0,5.11,3.82,2.28,0.51,4.37,0,96.7,2.48,0,4.67,297.73,1.59,4.13,3.19,0,14.3,0,0,0,0,0,3.86,1.76,0,4.29,1.61,2.65
120,0,0,21.17,0,0,110.59,0,1.42,0,91.53,0,0,29.9,2.02,1.17,0,0,0,68.94,0,2.58,10.71,275.59,13.67,1.09,5.97,0,1.33,0,0,1.87,0,0,38.71,0,0,9.4,0,0
