stage,axial,blastomeres,epidermis,melanocytes,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros
  3-4,0,64.43,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,7.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.36,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.98,0,0,7.03
 14-21,0,0,0,0,0,0,0,0,0,0,9.01,0
 24-34,0,0,0,0,0,0,1.01,4.3,0,0,5.52,0
 36-46,0,0,0,0,0.78,0,0,0,0,0,0.66,0
 48-58,0,0,0,0.86,0,0,0,0,0,0,2.27,2.86
 60-70,0,0,0.71,0,0,0.58,0,0,0,0,8.9,0
 72-82,0,0,0,0,0,1.62,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,5.13,0,0
108-118,0,0,0,0,0.71,0,0,0,0,0,0,0
