stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,9.29,1.03,0,0,0,0,0,0,0.82,0.85,0,0,0,0,0,0,0,0,0,0,0,91.51,3.54,5.58,0,0,0,0.93,70.28,0,0,0,0,0
 24-34,17.74,0,5.94,0,5.94,0,0,0,5.05,0,0.68,0,0,0,0,0,0,2.65,0,0,1.63,873.43,0.76,15.7,0,4.28,0,0,226.92,0,0,0,0,0
 36-46,7.86,0,0,0,26.34,0,0,0,0.81,0,0,0,0,0,0,0,0,1.31,0,0,1.89,1683.3,0,22.07,2.78,10.84,0,0,282.74,0,0,0,0,0
 48-58,4.73,0,18.54,0,142.56,0,9.98,3.49,7.11,0,0,1.42,0,0,0,2.86,6.44,21.42,0,1.03,3.53,2316.18,6.17,18.77,0.43,3.24,0.73,0,350.62,0,0,0.48,0,8.18
 60-70,0,0,0,0,421.51,0.81,2.17,0,38.55,0,0,0,6.34,8.72,2.61,0,0,12.05,0,2.35,0,2839.33,0,12.27,0,3.98,0,0,370.66,0,0,11.57,0,2.2
 72-82,13.19,0,13.66,3.91,579.74,3.46,4.23,3.99,34.81,0,0,0,1.26,0,0.49,2.72,1.88,34.84,0,0,0.62,2648.33,0,26.24,0,0.95,0.73,0,236.92,0,0,6.93,2.52,4.88
 84-94,8.46,0,12.11,5.21,467,0,0,0.77,34.75,3.39,0,1.88,0,7.24,0.78,0.83,0.96,33.13,0,0.63,1.89,1748.56,2.57,12.44,1.61,14.79,0,0,139.53,0,1.91,2.5,0.98,4.33
 96-106,11.06,0,9.84,9.3,357.11,0.58,0,9.48,32.06,1.27,0,0.71,1.23,3.28,0.84,0.61,0,39.69,0,0,5.61,1560.25,4.18,30.56,1.16,0.91,0,0,100.55,0,1.93,2.1,0,0
108-118,13.05,0,15.09,0.69,369.36,0,1.32,4.41,28.47,0.47,0,1.07,0,10.57,0,0.56,0,36.36,0,0.56,0.42,1750.5,0,14.2,8.18,7.4,0.94,0,64.25,0,0,2.66,0,0
120,16.95,0,4.12,1.54,540.08,10.05,2.36,0,41.66,0,0,0,0,22.63,0,23.24,0,21.3,1.49,0,4.8,2755.01,0,13.91,0,1.47,1.83,0,67.15,13.72,0,0,8.42,0
