stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,18.85,0,0,5.78,0,0,0,0,0,0,0
 14-21,0,0,0,1,2.92,0.99,0,0,0,0,3.17,0,0,0,2.06,0,0,2.18,0.89,0.85,0,0,0,3.53,4.89,0,0,0
 24-34,0,0,0.8,0,1.58,0.66,1.52,0,0,0,4.84,0,0,0,0,0,0.65,15.31,0,1.67,0,0,0,6.37,8.03,0,0.93,0
 36-46,0,0,0,0,0,0,0.68,4.27,0,0,20.69,0,0,0,0.87,0,0,12.75,0,0,0,0,0,1.31,4.63,0,1.09,0
 48-58,0,0,0,0,0,0,0.63,11.49,0,0,14.31,0.41,0,0,1.42,0,0,24.3,0,1.57,0,0,0,4.54,9.88,0,0,0
 60-70,0,0,0,0,0,0,1.97,24.47,0,0,22.82,3.59,2.56,0,7.08,5.65,4.32,25.04,0,0,0,4.14,0,1.24,9.22,0,0,0
 72-82,0,0,0,0,0,1.86,9.06,64.12,0.85,0,28.9,0,2.1,0,22.35,0.55,0,59.58,0,0,0,0,0,0,5.97,0.87,0,0
 84-94,0,0,0,0,0,0.67,2.64,50.23,0,0,30.45,2.32,0,0,1.28,1.34,2.14,41.58,0,9.49,0,0,0,0.9,2.03,0,1.24,0
 96-106,0,0,0,0,3.79,0,0.61,73.54,0.86,0.96,34.56,0,7.71,0,14.67,4.02,0,28.48,0,5.73,0,4.28,0,2.18,0.67,0,0,0
108-118,0,0,2.91,0.61,0.47,1.52,2.77,74.08,0,0,35.21,0.65,1.15,0,18.07,0,0,28.98,0,3.77,0,0,0.54,0,0.62,0,0.57,0.61
120,0,0,0,0,1.81,4.16,9.78,35.54,0,0,45.25,6.21,0,5.02,7.53,0,0,59.43,0,7.82,0,0,0,0,0,0,2.83,0
