stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.51,567.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0
  5-6,31.68,1751.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,86.89,0,0,0,62.3,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,609.93,9.06,0,0,135.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.82,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,145.11,0,0,0,39.89,0,0,0,0,7.28,0,0,0,0,0,0
 14-21,0,0,0,2.65,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,11.68,30.25,0,0,0,0,0,0,0,473.55,226.12,13.53,0,0,0,0,0
 24-34,0,0,0.66,7.26,0,11.72,91.3,3.84,0,0,0,0,0,0,0.65,0,0.75,0,0,18.47,0,0,73.68,497.52,10.74,0.76,0,0,0,5.56,0,179.82,206.44,117.51,0,0,0,0,1.52
 36-46,0,0,2.76,0,0,31.46,178.2,0,4.5,6.02,0,0,0,0,0,0,0,0,0,13.38,0,0,98.54,985.47,0,0,0.85,0,0,3.87,10.08,106.49,15.54,205.46,0,0,0,0,0
 48-58,0,0,0,4.89,0,98.88,168.55,0.52,0.62,31.44,1.6,0,0.64,0.69,0,0,0.45,0,0.54,26.52,0.41,1.66,45.33,1622.41,0.39,1.27,1.35,0,0,12.78,0,63.16,0,222.23,0,0,2.25,0,27.16
 60-70,0,0,0.95,6.5,0,181.4,120.27,0.94,2,14.49,0,0,1.29,0,0,2.5,0,0,0,22.48,1.43,6.11,38.21,2557.42,0,0.75,0.84,1.62,0,9.84,0,42.01,0,238.57,0,0,1.34,0,20.02
 72-82,0,0,0.54,5.26,13.02,308.61,98.31,0,5.77,29.84,1.35,0,2.07,5.1,0,0,1.04,9.68,0,47.61,0,6.94,38.15,2339.26,0,1.41,0.5,0,0,8.04,0,17.27,0,166.06,1.21,1.05,7.97,5.09,8.28
 84-94,0,0,0,8.81,15.76,182.29,123.06,0,1.97,25.02,0,0,1.31,1.66,1.25,0.68,0,0,15.01,30.39,1.6,0,32.82,1315.92,2.11,0.71,3.43,0,5.56,14.78,1.19,25.76,0,169.35,0,0,0,13.2,8.76
 96-106,0,0,2.3,26.27,44.72,193.35,176.68,2.24,0.64,45.13,2.03,0,3.13,1.48,0,0.77,5.55,15.3,0,87.64,0,6.49,22.6,1273.05,0,0.64,0,0,0,23.89,0,33.46,0,52.98,0.87,2.16,17.71,20.04,1.78
108-118,0,0,1.74,8.61,10.23,171.86,148.4,1.28,2.82,29.22,0,0,3.91,4.09,0,0,1.39,0,2.33,22.6,0,0,38.3,1202.12,0.6,6.39,1.26,0,4.06,6.33,0,29.57,0,63.14,0,2.8,0,10.67,7.92
120,0,0,2.94,20.73,2.55,223.11,110.8,0,0,81.75,0,0,3.15,4.75,0,0,1.12,0,0,57.46,1.49,0,19.89,1749.42,1.55,13.55,1.29,0,0,7.52,0,9.63,0,75.91,0,0,0,6.17,0
