stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.35,0,0,4.95,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,6.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.57,0.81,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0.8,0,0,0.88,4.62,0,0,0.98,0,0
 24-34,0,0,0,0,9.29,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,30.82,0,0.69,1.16,0,0,0.62,5,0,0,1.55,0,0
 36-46,0,0,0,0,0.62,0,0,2.43,0,3.75,0,1.5,0,0,0,0,0,0,0,0,0,3.04,0,0.89,1.42,62.6,2.91,0,0.57,0,9.1,0,10.39,0,0,1.76,0,3.36
 48-58,0,0,0,0,2.28,0,0,18.15,0,0,0.42,8.38,0,0,0,0,0.46,0,0,0,0.54,7.85,0.41,0.75,0,96.19,1.93,0,0,0,0,0,28.8,0,0,0.92,0,0.83
 60-70,0,0,0,0,0,0.59,0,64.68,0,0,0,6.21,0,0,0,0,0,0,1.02,0,0,5.85,1.01,0,5.53,136.88,0,0,0,0,8.65,0,21.09,0,0,0.72,0,0
 72-82,0,0,0.95,0,1.78,25.64,0,37.45,0,0,1.2,4.69,0,0,0,0,0,0,0,3.49,0,7.19,0,1.1,0,91.72,0,0,0,0,3.71,0,12.45,0,1.57,3.72,0,2.74
 84-94,0,0,0,0,3,10.34,0,20.84,0,0,0,5.48,4.01,1.95,0,1.56,0.56,0,0,0,0,17.95,0,3.53,0,38.66,0.62,0,2.22,0,12.82,0,10.75,0,0,7.75,0,0
 96-106,0,0,0,0,3.35,5.61,0,26.47,0.76,0,0,10.87,0,0,1.33,0,0,0,0,0,0,6.68,0,0,0,45.43,4.77,0,1.07,0,7.68,0,5.27,0.61,0,13.6,0,6.94
108-118,0,0,0,0.49,1.75,0,1.51,12.47,8.24,1.66,0,17.19,0,0,0,0,0,6.03,0,0.43,0.91,5.51,2.89,4.24,0.92,33.98,0,0,0.45,0,12.75,0,0,0.84,1.52,0.99,0,0
120,0,0,0,0,2.57,3.85,0,68.34,0,0,1.29,18.36,1.51,0,0,0,2.78,1.91,0,0,0,17.94,0,0,18.25,104.66,0,0,0,0,1.3,0,19.48,0,0,0,2.27,0
