stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,immune,mesenchyme,neural,paraxial.mesoderm,periderm
  3-4,0,64.78,0,0,0,0,0,0,0,0,126.53
  5-6,0,36.13,0,0,0,0,0,0,0,0,58.34
  7-9,3.35,0,0,0,0,0,0,0,22.74,16.53,0
 10-12,0,6.18,0,0,0,0,0,0,29.22,0,0
 14-21,0,0,1.13,0.93,0,0,0,0,3.75,0,0
 24-34,0,0,0,0,0.75,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,6.92,0,2.15,0,0
 84-94,0,0,2.07,0,0,0,20.71,0,2.9,0,0
 96-106,0,0,0,0,0.99,0,13.76,0,0,0,0
108-118,0,0,0,0,0,0.48,11.13,0,3.94,0,0
120,0,0,0,0,0,0,26.28,1.84,0,0,0
