stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,1.36,3.16,0,0,3.78,0,1.54,0,0,0,1.25,0,0,0,0
 24-34,0,0,1.58,0,0,0,0,0,0,0,0.81,0,0,20.78,0.64,0,0,0.64,9.51,0,0,1.94,0,0,2.3,0,2.43,0
 36-46,0,0,0,0,0,0,0,0,0.63,0,0.77,0,0,6.07,0.71,0,0,0,0,0,0,0,1.96,0,0,0,8.21,0
 48-58,0,0,4.29,0,0,0,0,1.81,0,0,0.97,0,0,0,1.6,0,0,0,0,0,0,0,5.25,0,0,0,0.41,0
 60-70,0,0,1.42,0,4.05,0,0,37.64,0,0,0,0,0,0,1.42,0,0,0,11.55,0,0,0,25.36,0,0,0,0.63,0
 72-82,0,0,0.76,0,8.75,0,0,138.47,0,0,0.5,2.2,0,0,8.4,0,0,0.55,25.82,0,1.33,2.07,67.31,0,0,0,4.63,0
 84-94,0,0,0.82,8.24,21.89,0,0,297.35,0,0,3.64,0,0,0,6.77,0,1.37,0,33.6,0,0,0.56,183.78,0,0,2.36,4.81,0
 96-106,0,7.41,2.65,9.74,32.95,0,3.49,491,0,0,4.72,0.6,0,5.92,34.46,1.15,0,0,56.55,0,2.39,12.94,115.93,0,0,0,0,0
108-118,0,0,6.79,0,18.94,5.08,0,551.16,0,0,6.21,0,0.98,9.21,9.39,0,0,4.42,66.48,0,0.49,7.5,159.54,0,4.88,0,0,0.7
120,0,0,3.12,0,23.39,0,12.99,286.46,0,3.86,2.42,0,0,0,19.52,0,0,1.09,84.61,0,0,0,112.69,0,0,0,2.43,0
