stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,3.65,0,8.42,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0
 24-34,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,255.39,0,2.42,0,0,0,0,0,0,0,0,0
 72-82,0.79,0,748.42,1.03,0.53,0,1.41,0,4.43,0.7,0,0,0,7.54
 84-94,0.9,0,858.6,0,0,0.62,0,0.82,2.13,0,0,0.86,10.03,0
 96-106,0,0,408.62,0,0,0,0,0,6.89,0.73,0,1.06,0,0
108-118,0,1.07,300.14,0,1.17,0,1.22,1.33,7.22,0,0,0,0,0
120,1.28,0,229.5,0,0,0,0,0,2.89,0,0,0,0,0
