stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,4,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,33.32,0,0,0,0,0,0,2.31,0,0,0,0.88,0,0,0,0,1.02,0,0
 36-46,0,0,16.7,0,0,1.88,0,0,0,0,0,0,0,0,0,82.85,0,0,0,0,0,0.72,28.41,19.06,0,0,0,0,0,1.83,0,0,0,0
 48-58,0,0,0,0,0,2.36,0,0,0,0.47,0,0,0,0,0,221.82,0,0,0.4,0,0,0,37.47,8.33,0,0,3.21,0,0,0.64,0,0,0,0
 60-70,0,0,5.34,0,0,5.92,0,0,0,9.94,0,0,0,0,0,239.36,0,0,2.08,0.65,0,0,52.75,30.13,0,0,3.51,0,0,3.99,3.12,0,0,0
 72-82,0,0,6.14,3.66,0,35.18,0,0.65,1.28,6.18,0,0,0.98,0,0,1063.17,0,0,16.69,9.19,0,1.14,94.04,0.88,0,0,18.39,0,0,5.51,0,5.25,0,0
 84-94,0,0,16.67,3.06,7.84,31.65,0,0,0,56.34,3.66,0,1.4,0.76,0,1069.37,0,0,19.55,0,2.34,4.19,74.72,8.09,0,0,27.09,0,0,0,0,0,0,4.35
 96-106,0,0,26.14,23.3,1.52,57.15,0,1.47,1.63,26.56,4.7,2.94,12.98,44.44,4.64,2659.45,0,0,21.8,0.81,0,2.46,178.91,103.28,0,0,45.13,0,0,2.95,2.49,0,0,13.93
108-118,0,1.89,11.61,5.38,0.97,42.46,0,1.09,0,3.42,0,0.69,0.59,31.66,1.07,2121.83,1.65,2.61,25.07,0.46,0,4.49,96.45,17.16,0,2.98,28.11,0,0.84,0,0,0,1.44,0
120,0,0,32.93,3.09,0,33.45,10.19,8.28,0,25.01,5.05,0,0,0,0,1036.62,13.85,0,30.33,0,0,0,109.77,85.76,0,0,28.75,2.89,0,0,0,0,0,0
