stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,11.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,38.29,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,2.05,0,0,0,0,0,0,0,0,0,1.14,0,0,1.73,27,1.38,0,0,0,0,1.76,0,5.94,0,0,0,0
 24-34,0,0.67,0,0,0,0,0.87,0,0,0,0,3.56,0,0,7.61,30.22,0,0,0.72,0,0,0,0.87,5.86,0,0,0,0
 36-46,0,0,1.37,4.09,0,0,0.77,0,0,0,0,7.34,0,0,5.25,40.16,0.55,0,0,0,9.74,0,0,19.55,0,0,0,0
 48-58,0,0,0,6.24,0,2.14,3.49,0,6.37,0,0,20.76,0,0,0.46,40.21,0,0,0.54,0,0,0,0,10.37,0,0,0,0
 60-70,0,1.84,0,1.29,0,0,2.15,0,0,0,0,23.36,0,0,0.8,34.95,0,0,0,0,0,0,1.44,12.03,0,0,0,0
 72-82,0,7.82,0,24.23,0,1.46,5.56,0,1.84,0,0,24.79,0,0,0.69,31.41,0.72,1.39,0,0,0,0,0,3.93,0,11.75,1.22,0
 84-94,0,21.46,0,13.36,0,0,2.85,1.31,0,0,0,18.56,0.64,2.39,0,6.57,0,0,0,0,2.21,0,0,2.06,0,5.72,0,0
 96-106,0,25.45,0,1.63,0.58,0,3.88,1.73,0,1.99,2.25,13.35,2.12,0,1.24,3.38,0,0,2.37,0,0,0,0,0,0,15.76,0,1.02
108-118,0.49,52.49,0,12.7,0.95,0,3.05,0,0,0,0,18.43,0,0,1.13,42.39,0,0,0,0,3.99,0,0,0,0,6.72,0.49,1.02
120,0,16.02,4.24,6.58,0,0,10.47,0,0,0,0,16.72,0,2.35,2.24,31.03,0,0,0,0,0,0,0,7.97,1.84,0,0,0
