stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,195.66,455.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,451.63,720.04,0,9.08,0,0,0,0,0,0,0,23.22,0,0,0,0,0,0,0,0,0,0,0,73.32,0,0,0,0,27.3,0,0,0,0,0,0,0
  7-9,10.72,0,0,7.77,0,0,0,0,0,0,0,32.79,0,0,0,0,0,0,0,0,0,0,0,28.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,6.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1.36,2.89,0,0,0,0,0,0,0,0,1.18,0,0,0
 24-34,0,0,0,0.73,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,6.43,1.31,0,0,0,10.43,0,1.27,0,0,4.01,0,4.2,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,1.35,0,0.59,0,0,0,13.85,0.55,1.89,0,0,0,0.81,2.02,0.67,5.07,0,2.95,1.22
 48-58,0,0,0,0,0,0,2.3,0,0,0,0.47,0,0,0,0.44,0,0.42,0.49,0,3.45,0,0,0.53,24.8,0,2.9,0,0,0,0,3.67,1.8,6.32,0,0,0.58
 60-70,0,0,0,0,2.42,0,3.81,0,0,0.9,11.14,0,0.69,0,0,0,0,0,0,0,0.85,0,0,24.28,0,1.48,0,0,1.55,0,2.11,6.79,3.47,0,0.67,0
 72-82,0,0,0,0,0.54,0,22.01,0,0,4.41,26.14,0,0,0,0.66,0,0.68,0,0,5.78,0,0,0,42.6,0,6.51,0,0,17.84,0,0.66,8.5,1.08,0,0,0
 84-94,0,0,1.44,2.44,10.82,0,11.39,0,0,2.82,44.16,0,0,0,0,0,9.38,0.57,0,4.45,1.62,4.09,0,34.79,0,8.18,0,0,12.39,0,3.71,28.12,1.03,0,3.6,0
 96-106,0,0,0,0,6.91,1.14,23.24,2.35,0,7.49,69.9,0,2.55,0,4.63,0,0,0,0,18.25,7.32,0,0,33.84,0,12.37,0.85,0,111.33,0,3.29,42.61,7.79,2.08,0,0
108-118,0,0,2.11,1.85,20.91,1.97,20.9,7.3,2.73,3.59,93.99,0,0,1.59,8.25,0.64,0.55,1.18,0,10.99,28.81,1.21,0.56,25.02,0,8.84,0.43,0,156.47,0,7.84,42.44,0,0,0.77,0
120,0,0,0,0,20.61,0,20.32,8.06,0,2.61,53.28,0,0,2.76,2.87,0,0,0,0,7.67,8.66,0,8.31,37.39,3.13,55.16,0,0,177.93,0,2.99,8.52,0,6,0,0
