stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,12.09,374.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.83,0,0,0
  5-6,12.28,440.87,0,0,0,0,0,0,0,0,0,0,0,23.79,0,0,0,9.32,39.33,0,0,0
  7-9,13.93,0,0,19.16,0,30.34,0,0,0,3.27,0,0,0,226.99,3.24,0,0,59.8,0,0,0,0
 10-12,0,0,0,0,0,6.23,0,0,0,19.15,0,0,0,54.03,3.12,0,0,6.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.87,1.7,0,0,0,0,0.7,0.61,148.03,0,3.92,0,0,0,2.18,34.32,0
 36-46,0,0,0,0,0,4.22,0,0,0,0,0,0,0,351.24,0,14.39,2.11,0,0,0,44.52,0.87
 48-58,0,0,0.54,0,0.85,12.04,0,2.17,0,0,4.43,0,0,270.01,0,10.33,0,0,1.57,0,94.83,0
 60-70,0,0,0,0,0,8.46,0,0,0,0,0.88,0,0,149.41,0,44.24,0,0,0,0,75.55,2.55
 72-82,0,0,0,0,0,5.98,0,0,0,0,2.5,0,0,120.42,0,6.43,0,0,0,0,102.52,0
 84-94,0,0,0,0,0,4.36,0,1.34,0,0,5.9,0,0,67.62,0,2.31,0,0,0.82,0,34.86,0
 96-106,0,0,0,0,0,11.5,0,0,0,0,2.31,0,0,63.46,0,9.99,0,0,0,0,14.28,0
108-118,0,0,0,0,0,9.14,0,3.95,1.11,0,0.72,0,0,111.38,0,9.59,0,0,0,0,7.88,0
120,0,0,0,0,3.12,3.39,0,0,0,0,6.34,0,0,171.87,0,7.91,0,0,0,0,0,0
