stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,18.13,0,0,0,0,0,0,0
 14-21,0,1.92,0,0,0,0,0,0,4.5,0,4.6,8.42,0,0,3.67,1.36,0,0,2.05
 24-34,0,1.63,0.93,0,0,0,0,0,1.06,0,0,2.01,1.41,0,0,0,0,0.68,0.74
 36-46,0,0.73,0,0,0,0,0,0,1.83,0,0,1.41,0,1.23,0,0,0,0,0.58
 48-58,0,0,0,0.39,1.28,0,0,0,8.57,0,0,2.48,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.97,0,0.94,0,0,0.76,0,0,0,0,1.8,0,4.08
 72-82,0,0,11.9,0,0,0,0,0,6.69,0.7,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.46,0,0,0,17.23,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.88,0,1.49,1.14,0,0.85,6.15,0,1.64,0,0,0,0,0,0,0,4.77
108-118,0,0,1.17,0,0,2.59,0,0,17.83,0,0,0,0.47,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,6.41,0,0,5.43,0,0,0,0,0,0,0
