stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.33,0.83,0,2.43,0,0,0,0.85,0,0,4.72,0,3.5,0,0.84,24.43,1.02,0,0,0,0.92,0,1.16,6.92,0,0,0,0,0
 24-34,0.84,1.64,0,0,0,0,0,0.89,0.68,1.18,0,0,0,7.17,0,4.55,69.72,1.45,0,0,0,0,0,1.28,8.51,0,0,1.91,0,0
 36-46,0,0,0,0,3.57,0,0,3.88,0,0,0,0,0,12.3,0,1.11,107.88,0,3.94,0,0,0,0,0,25.31,0,0,0,0,1.22
 48-58,0,0.89,0,0,15.04,0,0.38,1.38,0,0,0,0,0,5.7,0,0.45,60.65,0,0,0,0,0,0.74,0,11.43,0,1.28,4.07,0,1.32
 60-70,0,14.63,0,0,15.98,5.34,0,13.03,0,0,0,0,0,16.45,0,2.54,80,0,0,0,3.67,0,0,0,6.61,0,0,0,0.64,0
 72-82,0.5,1.24,0,0,20,0,0,5.81,0,0,1.86,0,0.79,11.06,0,0,26.13,0,0,0.56,1.28,0,0,0,2.91,0,0,2.06,0,0
 84-94,0,1.3,0,0,23.8,0,3.81,0,0,1.44,0,0,0,15.01,0,0.7,26.24,0.57,0,0,0.75,0,0,0,7.78,0,0,1.52,0,0
 96-106,0,4.64,0,0,29.03,0,1.02,4.29,0.59,0,0,0,0,6.55,0,1.05,21.2,0,0,0,5.78,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,19.74,0,1.03,1.09,2.49,0,0,0,0,10.84,0.91,2.35,21.66,0,1.19,0,0,0,0,0,2.75,0,0,13.15,1.93,0
120,0,1.72,0,2.35,2.58,0,0,0,0,0,12.92,6.31,0,2.32,0,0,101.99,0,0,0,0,0,0,0,16.93,1.63,0,8.91,0,0
