stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0
 14-21,1.69,0,2.97,0,0,0.85,0.83,0,0.9,10.57,0,0,1.89,0,0
 24-34,0,0,7.34,0,0,0,1.64,0,0,20.81,0,0,2.63,0,0
 36-46,0,0,13.09,0,0,0,0.63,0.77,0.63,8.06,0,0,0.8,0,0
 48-58,0,0,12.72,0,0.66,0,0.49,0,0,2.61,0,0,1.41,0,0
 60-70,0,0,9.32,3.65,5.22,0,0,0,0,0,0,0,2.38,0,2.56
 72-82,0,0,12.86,0,12.98,0,0,0,0,1.6,0,0,0,0,0
 84-94,0,0,6.49,0,4.98,0,0,0,0.84,0,0,0,0,0,0
 96-106,0,4.98,3.62,0,9.85,0,0,0,0,0,0,0,0,1.13,0
108-118,0,0,0,0,4.87,0,0,0,0,4.03,0.44,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,19.84,0,0,0
