stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.46,41.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,0,185.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,8.13,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,0,6.6,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,8.95,0,0,5.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.75,0,0,0,0,7.12,0,0,0,0,0.92,0,0,0,0,3.08,0,0,3.26,18.42,0,0.92,0,0,2.35,0.85,1.4,9.12,0,0,0,0,0
 24-34,0,0,0,0,0,3.05,0,0,1.5,0.67,0,0,0,0,0,7.97,0,0,5.6,0.91,0,6.3,146.78,2.45,1.51,18.23,0,2.37,2.02,0.82,167.23,0,0,4.73,0,0
 36-46,0,0,0,0.6,0,3.96,0,0,8.06,0,0,4.57,0,0,0,0.57,0,0,4.42,0,0,0.73,159.33,0,3.45,8.47,0,9.56,7.55,0,175.08,0,0,0,0,0
 48-58,0,0,0,0.48,0,28.71,0,0,8.71,0,0,0,0,0,0,1.66,0,0,9.46,0,0,8.17,112.31,1.36,0.56,18.42,0,9.19,0.54,0,126.21,0,0,1.94,0,0
 60-70,0,0,0,6.84,0,179.94,0,1.6,14.92,0,3.43,0,0,0,0,11.74,1.32,0,51.23,0,0,0,116.77,0,1.62,37.32,0,6.56,1.35,0,121.35,4.26,0,5.79,0,0
 72-82,0,0,0,5.31,12.54,944.17,2.41,2.27,23.6,2.06,0,0,0,0.7,0,17.91,0,2.32,71.24,0,0,8.02,179.11,0,3.02,51.9,0,1.73,2.75,0,53.52,0,0,4.42,0,5.89
 84-94,0.62,0,0,2.8,12.05,941.49,0,0,13.64,0.82,1.3,0,0.55,0,0,7.92,0.96,0,16.6,0,0,1.15,138.2,0.62,1.95,32.23,0,2.94,5.91,0,42.77,0,1.03,1.75,0,0
 96-106,0,0,0,4.01,22.22,399.57,0,0,12.93,0,0,0,0.58,0,0.66,13.48,0,0,12.58,0,0,0,57.72,0,4.8,31.27,0,11.06,1.91,0,10.13,0,0,0,0,0
108-118,0,0,0,3.08,9.35,516.72,0,0,9.3,0.47,0,0.69,0.9,0,0,10.16,1.5,0,21.43,0,1.44,0,113.81,0,1.44,24.38,0,0.92,4.66,0,10.37,0.48,1.4,0,1.37,0
120,0,0,0,5.13,8.02,827.85,0,0,5.52,0,0,0,3.08,0,0,9.84,0,0,20.54,0,10.85,0,150.65,0,1.61,22.72,0,13.23,2.82,0,6.72,0,0,0,0,0
