stage,blastomeres,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.02,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,1.66,0,0,1.48,0,1.19,3.6,0,0,1.74,0,1.98,0,0
 24-34,0,0.98,0,0,0,0,0,0,0,2.35,0,0.91,10.32,0.62,0,0,0,1.3,0.69,0
 36-46,0,1.22,0,0,0,2.68,0,0,0,2.33,0,0.8,3.47,0,4.14,0,0,1.66,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0.45,0,0,2.05,0.61,0,0
 60-70,0,0,0,0,0,0.85,0,0,0,4.99,0,0,0.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.58,0,0,0,0,3.23,0,0,0,0,0,0,0,0,1.89,1.26
 84-94,0,1.09,0,0,0,1.79,0,0,0,3.18,0,0,0.79,0,0,0,0,0,0.62,0
 96-106,0,0.84,0,0,0,2.36,0,0,0,1.32,0,0,1.67,0,0,0,0,0,0,0.85
108-118,0,1.21,1.26,0.55,0,3.79,0,0.48,0.59,7.34,1.06,1.18,2.62,0,0,0,0,0,0.47,0
120,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0
