stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,7.03,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,1.75,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.85,0.62,2.17,0.71,0,0,0.73,0,0,4.08,0
 36-46,0,0,0,0,0,2.67,0,0,0,3.07,0,3.48,0,0,0,0,9.28,0,4.01,0
 48-58,0,0,0,0,0,1.59,0,0,0.48,3.69,0,2.09,0,0,0,0,2.22,0,2.01,0
 60-70,0,0,0,0.67,2.85,10.21,0,0,0,2.59,0.67,0,0,0,0,0,0.61,0,4.29,0
 72-82,0,0,0,0,3.93,2.77,0,0,0.79,2.36,0,0.99,0,2.93,0,0,0,0.91,1.48,0
 84-94,0,0,0,0,13.7,8.22,1.91,0,0.8,1.55,0,5.07,0,1.52,0,0,0,0,4.51,2.12
 96-106,0,0,1.06,0,0,7.26,0,0,0.94,0,0,4.25,0,0.98,0.6,0,0.95,0.61,4.49,2.53
108-118,0,0,0,0,1.19,2.68,1.11,0.56,0,0,0,1.29,0,3.11,0,0,0,2.39,7.28,0
120,0,0,0,0,0,14.58,0,0,3.58,0,0,2.31,0,0,0,0,0,0,0,0
