stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,6.49,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,3.75,0,0
 48-58,0,0,0,0,0,0,0,1.07,0,0,0,0,3.08,0,1.63,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.49,0,0,0,0,188.21,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.83,0.6,0,9.33,0,23.53,0.81,0,0,0,781.06,0.54,21.79,0,1.06,0,0,0,0,0,0,1.09
 84-94,0,0,2.86,0,0,5.76,0,13.2,0,0,0,0,676.83,1.36,3.47,0,0,0,0,0.66,0.92,0,0,0
 96-106,0,0,9.05,0,2.46,5.07,2.02,12.22,0,1.55,5.32,0,507.45,0,7.26,0,0,0,4.81,0,0,0,2.43,0
108-118,0,0,1.49,0,0,8.43,0,66.6,0,0,3.99,0,478.66,0,17.02,0,0,0,0,0,0,0,5.76,0
120,0,0,7.73,0,0,10.43,0,96.23,1.47,0,5.69,1.42,668.77,0,22.52,2.01,0,0,0,0,0,2.98,11.26,0
