stage,epidermis,eye,gut,neural,periderm
  7-9,0,0,0,0,3.28
 24-34,0,0.85,0,0,0
 60-70,0,0.94,0,4.17,0
 84-94,0,0,0,2.06,0
 96-106,0,0,1.54,0.59,5.51
108-118,1.88,0,0,0,0
120,0,0,0,0,2.01
