stage,axial,blastomeres,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,482.73,0,0,0,0,54.14,0
  5-6,6.98,183.35,0,0,0,0,0,0
  7-9,0,0,0,35.59,0,8.76,0,0
 24-34,0,0,0,2.61,0.64,0,0,0
 36-46,0,0,0,1.06,0,0,0,1.79
 48-58,0,0,0.83,0,0,0,0,0
