stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.19,879.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.77,0,0,0,0,0,0,0
  5-6,57.61,388.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,0,7.71,828.99,0,0,0,0,0,0,0
  7-9,0,6.14,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,134.36,6.29,0,0,9.42,125.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,3.95,0,0,12.89,23.1,0,0,0,0,0,0,0
 14-21,0,0,2.81,0,0,0,0,0,1.67,0,0,6.47,0,0,0,0,0.86,0.95,0,2.02,0,0,0,0,119.16,3,0.81,0,0,0,0,0
 24-34,0,0,1.78,0,0,0,0.92,0,1.26,0,0,40.12,0,0,0,0,0.74,10.18,0,25.67,0,3.27,0,0,310.08,0,6.48,0,0,0,0,0
 36-46,0,0,0,0,0,4.02,0,0,1.15,0.76,0,23.99,0,1.17,0,5.56,0.81,10.01,0.72,33.87,0,4.19,0,0,335,0,4.32,0,0,2.36,0,0.7
 48-58,0,0,3.88,0,0,7.18,2.87,0.8,0.98,0,0,7.76,0,2.36,0,0,6.94,11.46,0.4,29.51,0,4.54,0,0,229.93,0,3.37,0,0,0,0,0
 60-70,0,0,7.73,0,1,9.45,9.77,9.36,0,0,0,12.29,0.58,0.73,0,0,2.58,12.74,0,19.21,0,0,0,0,143.8,0,0,1.99,0,0,0,5.24
 72-82,0,0,8.78,1.63,0,3.08,0,0,3.27,0,0.68,9.71,1.66,3.17,3.14,0,0.99,7.15,0,20.49,0,2.19,0,0,118.27,0,11.58,5.82,0,1.31,0.49,0
 84-94,0,0,36.04,0,0,0,2.59,0.69,3.89,0.74,0,23.88,3.22,4.66,1.15,0,6.88,20.59,0,0,0,6.96,0,0,300.18,0,0,9.74,0,0,0,0
 96-106,0,0,66.88,0,0,0,2.5,12.87,14.12,0,0,27.4,0,3.12,0,0,4.95,27.01,1.24,14.88,0.62,19.31,0.8,0,255.52,0,0,35.4,0,0,0,0
108-118,0,0,32.81,0,0.5,4.32,2.68,1.42,8.98,0,1.23,39.4,9.27,1.6,0.48,0,6.31,25.4,0,18.14,0,12.41,0,0,213.27,0,4.33,21.79,3.63,0,0,0
120,0,0,55.7,0,0,1.09,1.14,0,13.92,0,0,22.51,0,10.19,0,0,0,8.43,0,9.91,0,5.69,0,0,93.99,0,0,18.07,2.35,0,0,0
